bikeid,trips,distance,stations,duration,avg_trip_distance,avg_trip_duration,avg_age,age_range,revenue
1072,326,878129,156,418400,2693.6,1283.4,36.8,46.0,515.0
1073,334,876402,161,403583,2624.0,1208.3,37.8,43.0,289.0
1074,333,910091,155,450843,2733.0,1353.9,37.8,50.0,431.5
1075,320,825808,154,357145,2580.7,1116.1,38.5,86.0,243.0
1076,254,697961,139,318329,2747.9,1253.3,37.9,42.0,273.0
1077,293,713621,156,298788,2435.6,1019.8,37.0,52.0,109.5
1078,365,902058,163,369709,2471.4,1012.9,35.7,56.0,149.5
1079,312,970026,149,384739,3109.1,1233.1,36.3,48.0,305.0
108,376,1061683,137,549942,2823.6,1462.6,35.9,61.0,535.5
1080,305,790227,148,334484,2590.9,1096.7,38.4,52.0,191.0
1081,281,760820,149,376668,2707.5,1340.5,37.8,48.0,439.0
1082,341,970688,167,358118,2846.6,1050.2,36.1,49.0,159.0
1083,350,942581,163,377434,2693.1,1078.4,38.3,45.0,150.0
1084,370,1028754,171,463205,2780.4,1251.9,37.4,45.0,397.0
1085,280,779683,147,323019,2784.6,1153.6,37.4,51.0,195.0
1086,332,813751,136,419650,2451.1,1264.0,37.8,50.0,376.0
1087,167,391885,104,214473,2346.6,1284.3,37.0,43.0,253.5
1088,348,890299,155,554693,2558.3,1593.9,36.8,53.0,773.5
1089,215,736209,113,234576,3424.2,1091.1,39.0,45.0,65.0
109,290,839763,140,417339,2895.7,1439.1,35.4,36.0,384.0
1090,310,874191,156,460164,2820.0,1484.4,39.2,62.0,574.5
1091,292,850537,149,300110,2912.8,1027.8,36.9,44.0,150.5
1092,324,869751,167,442335,2684.4,1365.2,37.4,49.0,528.5
1093,174,493403,110,238844,2835.6,1372.7,35.4,44.0,212.5
1094,390,1103047,176,514670,2828.3,1319.7,37.2,49.0,553.5
1095,276,711078,147,445365,2576.4,1613.6,35.9,45.0,712.0
1096,350,982801,163,409845,2808.0,1171.0,37.0,63.0,255.5
1097,392,980178,174,409357,2500.5,1044.3,36.8,49.0,165.0
1098,434,1124194,168,592934,2590.3,1366.2,39.5,57.0,683.0
1099,301,790658,148,379770,2626.8,1261.7,36.3,50.0,437.0
11,335,928169,148,500657,2770.7,1494.5,35.4,47.0,752.5
110,118,390686,63,231234,3310.9,1959.6,37.2,36.0,359.5
1100,299,746112,147,319600,2495.4,1068.9,35.6,44.0,179.5
1101,358,943063,158,399454,2634.3,1115.8,37.6,48.0,287.0
1102,234,605725,119,270157,2588.6,1154.5,38.6,85.0,108.5
1103,351,961183,154,375419,2738.4,1069.6,38.0,46.0,187.0
1104,348,960442,154,391996,2759.9,1126.4,35.1,43.0,188.0
1105,237,609686,137,375062,2572.5,1582.5,38.6,49.0,660.0
1106,282,751184,140,348082,2663.8,1234.3,36.8,35.0,249.5
1107,393,1130833,175,420425,2877.4,1069.8,37.8,53.0,196.0
1108,319,875425,155,405041,2744.3,1269.7,39.3,51.0,395.5
1109,226,642645,126,289525,2843.6,1281.1,36.2,40.0,237.5
111,359,1014613,155,463746,2826.2,1291.8,36.9,42.0,378.0
1110,370,1006956,160,456312,2721.5,1233.3,37.0,46.0,369.0
1111,304,844747,159,432021,2778.8,1421.1,38.2,44.0,499.0
1112,327,822494,153,349696,2515.3,1069.4,38.1,55.0,209.0
1113,339,845043,142,396397,2492.8,1169.3,37.3,44.0,232.5
1114,323,936712,153,422752,2900.0,1308.8,35.6,47.0,381.0
1115,308,774288,160,352778,2513.9,1145.4,37.6,51.0,332.5
1116,397,1087921,166,491672,2740.4,1238.5,37.5,44.0,483.5
1117,254,627686,141,406924,2471.2,1602.1,38.1,40.0,704.0
1118,348,937103,156,495465,2692.8,1423.8,36.6,42.0,748.0
1119,273,714916,131,365421,2618.7,1338.5,37.2,54.0,423.5
112,409,1201825,174,549571,2938.4,1343.7,35.4,53.0,514.5
1120,336,871933,174,402642,2595.0,1198.3,37.7,64.0,306.0
1121,332,842120,160,378756,2536.5,1140.8,36.5,47.0,285.5
1122,389,1021229,142,454222,2625.3,1167.7,37.4,44.0,180.5
1123,278,735934,140,277730,2647.2,999.0,36.4,52.0,108.0
1124,285,699709,143,379790,2455.1,1332.6,40.8,86.0,336.5
1125,357,980167,148,435141,2745.6,1218.9,36.5,46.0,254.0
1126,352,1015807,154,409638,2885.8,1163.7,36.6,59.0,275.5
1127,328,929859,156,351952,2834.9,1073.0,36.8,52.0,154.0
1128,295,874101,146,365196,2963.1,1238.0,36.3,43.0,236.0
1129,250,814176,136,294281,3256.7,1177.1,37.1,55.0,159.5
1130,164,512495,112,199920,3125.0,1219.0,36.0,43.0,146.5
1131,387,1035498,176,445612,2675.7,1151.5,36.9,47.0,356.0
1132,275,818231,166,304579,2975.4,1107.6,36.5,42.0,171.0
1133,284,773965,153,336394,2725.2,1184.5,36.8,52.0,196.5
1134,359,986214,143,585978,2747.1,1632.3,37.5,44.0,853.5
1135,352,981577,168,471690,2788.6,1340.0,36.1,51.0,383.5
1136,285,851759,149,352971,2988.6,1238.5,38.0,43.0,238.5
1137,350,946173,164,380377,2703.4,1086.8,39.1,48.0,183.0
1138,238,628355,144,331617,2640.1,1393.3,38.4,49.0,474.0
1139,349,956221,160,440859,2739.9,1263.2,37.2,48.0,348.0
1140,299,807360,133,338823,2700.2,1133.2,36.6,42.0,160.0
1141,319,828330,146,384938,2596.6,1206.7,38.9,51.0,266.0
1142,286,804369,133,354738,2812.5,1240.3,36.0,66.0,273.0
1143,358,975961,164,407711,2726.1,1138.9,36.4,45.0,261.0
1144,312,797924,157,424181,2557.4,1359.6,36.9,42.0,535.5
1145,242,668123,139,360404,2760.8,1489.3,37.9,47.0,449.0
1146,380,991159,157,492769,2608.3,1296.8,37.3,49.0,485.0
1147,367,900031,159,450983,2452.4,1228.8,36.7,50.0,400.0
1148,332,904554,161,393145,2724.6,1184.2,37.0,39.0,266.5
1149,249,671749,140,292981,2697.8,1176.6,35.7,47.0,216.5
1150,241,600373,132,224488,2491.2,931.5,37.2,49.0,94.0
1151,250,730041,136,280371,2920.2,1121.5,36.7,41.0,181.0
1152,336,881219,154,383891,2622.7,1142.5,37.1,54.0,211.0
