bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
398,,,Clinton St & Madison St,State St & Van Buren St,Clinton St & Madison St,Customer,1748,7/25/2013 18:07,3,7/25/2013 17:55,301,State St & Van Buren St,734,107188
398,,,Lake Shore Dr & Monroe St,Clinton St & Madison St,Lake Shore Dr & Monroe St,Customer,2688,7/25/2013 18:47,301,7/25/2013 18:25,300,Clinton St & Madison St,"1,348",107366
398,,,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,Customer,0,7/25/2013 20:02,300,7/25/2013 19:26,300,Lake Shore Dr & Monroe St,"2,141",107646
398,,,Dearborn St & Adams St,Lake Shore Dr & Monroe St,Dearborn St & Adams St,Customer,1492,7/25/2013 21:05,300,7/25/2013 20:38,20,Lake Shore Dr & Monroe St,"1,590",108021
398,,,Dearborn St & Adams St,Dearborn St & Adams St,Dearborn St & Adams St,Customer,0,7/25/2013 21:08,20,7/25/2013 21:06,20,Dearborn St & Adams St,106,108087
398,,,Fairbanks Ct & Grand Ave,Dearborn St & Adams St,Fairbanks Ct & Grand Ave,Customer,2219,7/25/2013 21:32,20,7/25/2013 21:12,262,Dearborn St & Adams St,"1,189",108110
398,,,McClurg Ct & Illinois St,McClurg Ct & Illinois St,McClurg Ct & Illinois St,Customer,0,7/26/2013 9:45,51,7/26/2013 9:20,51,McClurg Ct & Illinois St,"1,483",109067
398,,,Cannon Dr & Fullerton Ave,McClurg Ct & Illinois St,Cannon Dr & Fullerton Ave,Customer,5502,7/26/2013 10:16,51,7/26/2013 9:52,124,McClurg Ct & Illinois St,"1,433",109166
398,,,Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,Customer,0,7/26/2013 10:51,124,7/26/2013 10:28,124,Cannon Dr & Fullerton Ave,"1,386",109282
398,,,Halsted St & Polk St,Cannon Dr & Fullerton Ave,Halsted St & Polk St,Customer,11332,7/26/2013 11:30,124,7/26/2013 11:03,27,Cannon Dr & Fullerton Ave,"1,618",109390
398,,,Michigan Ave & Oak St,Lincoln Ave & Armitage Ave,Michigan Ave & Oak St,Customer,2803,7/27/2013 13:11,146,7/27/2013 12:45,42,Lincoln Ave & Armitage Ave,"1,552",113830
398,,,Sheffield Ave & Wellington Ave,Michigan Ave & Oak St,Sheffield Ave & Wellington Ave,Customer,5338,7/27/2013 14:46,42,7/27/2013 13:47,67,Michigan Ave & Oak St,"3,512",114305
398,,,Sheffield Ave & Willow St,Sheffield Ave & Wellington Ave,Sheffield Ave & Willow St,Customer,2572,7/27/2013 16:29,67,7/27/2013 16:05,190,Sheffield Ave & Wellington Ave,"1,461",115274
398,,,State St & Kinzie St,Desplaines St & Kinzie St,State St & Kinzie St,Customer,1416,7/28/2013 13:17,39,7/28/2013 13:12,50,Desplaines St & Kinzie St,336,118487
398,,,Lake Shore Dr & Monroe St,Michigan Ave & Pearson St,Lake Shore Dr & Monroe St,Customer,2867,7/28/2013 14:46,34,7/28/2013 14:20,300,Michigan Ave & Pearson St,"1,550",118995
398,,,Indiana Ave & Roosevelt Rd,Kingsbury St & Erie St,Indiana Ave & Roosevelt Rd,Customer,6372,7/29/2013 12:57,265,7/29/2013 12:20,309,Kingsbury St & Erie St,"2,169",123600
398,,,Michigan Ave & Washington St,Indiana Ave & Roosevelt Rd,Michigan Ave & Washington St,Customer,2025,7/29/2013 13:14,309,7/29/2013 13:00,1,Indiana Ave & Roosevelt Rd,848,123852
398,,,Michigan Ave & Lake St,Jefferson St & Monroe St,Michigan Ave & Lake St,Customer,2119,7/29/2013 17:55,38,7/29/2013 17:40,43,Jefferson St & Monroe St,903,125653
398,,,Fairbanks Ct & Grand Ave,Michigan Ave & Lake St,Fairbanks Ct & Grand Ave,Customer,1163,7/29/2013 19:06,43,7/29/2013 18:32,262,Michigan Ave & Lake St,"2,031",126055
398,,,State St & Kinzie St,Lake Shore Dr & Ohio St,State St & Kinzie St,Customer,1420,7/30/2013 9:12,337,7/30/2013 9:00,50,Lake Shore Dr & Ohio St,734,127831
398,,,McClurg Ct & Illinois St,State St & Kinzie St,McClurg Ct & Illinois St,Customer,1028,7/30/2013 10:41,50,7/30/2013 10:30,51,State St & Kinzie St,683,128166
398,,,McCormick Place,McClurg Ct & Illinois St,McCormick Place,Customer,5657,7/30/2013 11:39,51,7/30/2013 11:18,106,McClurg Ct & Illinois St,"1,267",128263
398,,,Millennium Park,Wabash Ave & Cermak Rd,Millennium Park,Customer,3238,7/30/2013 14:34,170,7/30/2013 14:05,8,Wabash Ave & Cermak Rd,"1,771",128844
398,,,Fairbanks Ct & Grand Ave,Millennium Park,Fairbanks Ct & Grand Ave,Customer,2162,7/30/2013 20:54,8,7/30/2013 18:06,262,Millennium Park,"10,114",129894
398,,,Dayton St & North Ave,Wood St & Milwaukee Ave,Dayton St & North Ave,Customer,3192,8/3/2013 14:53,221,8/3/2013 14:30,58,Wood St & Milwaukee Ave,"1,392",148693
398,,,Racine Ave & Congress Pkwy,Racine Ave & Congress Pkwy,Racine Ave & Congress Pkwy,Customer,0,8/4/2013 16:45,76,8/4/2013 13:43,76,Racine Ave & Congress Pkwy,"10,927",156233
398,,,State St & 16th St,McCormick Place,State St & 16th St,Customer,1668,8/6/2013 16:00,106,8/6/2013 15:48,148,McCormick Place,754,169550
398,,,Canal St & Harrison St,Halsted St & James M Rochford St,Canal St & Harrison St,Customer,1584,8/8/2013 16:23,166,8/8/2013 15:35,326,Halsted St & James M Rochford St,"2,866",180871
398,,,Michigan Ave & Oak St,Michigan Ave & Oak St,Michigan Ave & Oak St,Customer,0,8/9/2013 18:03,42,8/9/2013 18:01,42,Michigan Ave & Oak St,112,189517
398,,,Michigan Ave & Oak St,Michigan Ave & Oak St,Michigan Ave & Oak St,Customer,0,8/9/2013 19:09,42,8/9/2013 18:25,42,Michigan Ave & Oak St,"2,655",189723
398,,,Cannon Dr & Fullerton Ave,Lake Shore Dr & Wellington Ave,Cannon Dr & Fullerton Ave,Customer,1440,8/10/2013 15:52,234,8/10/2013 11:53,124,Lake Shore Dr & Wellington Ave,"14,353",193462
398,,,Sheffield Ave & Wellington Ave,Cannon Dr & Fullerton Ave,Sheffield Ave & Wellington Ave,Customer,2606,8/10/2013 16:09,124,8/10/2013 15:56,67,Cannon Dr & Fullerton Ave,763,196730
398,,,Sheffield Ave & Wellington Ave,Sheffield Ave & Wellington Ave,Sheffield Ave & Wellington Ave,Customer,0,8/10/2013 17:18,67,8/10/2013 16:10,67,Sheffield Ave & Wellington Ave,"4,062",196937
398,,,Racine Ave & Fullerton Ave,Sheffield Ave & Wellington Ave,Racine Ave & Fullerton Ave,Customer,1622,8/10/2013 17:31,67,8/10/2013 17:22,189,Sheffield Ave & Wellington Ave,531,197902
398,,,California Ave & Milwaukee Ave,Racine Ave & Fullerton Ave,California Ave & Milwaukee Ave,Customer,4462,8/11/2013 9:20,189,8/11/2013 8:38,84,Racine Ave & Fullerton Ave,"2,526",201468
398,,,Racine Ave & Fullerton Ave,California Ave & Milwaukee Ave,Racine Ave & Fullerton Ave,Customer,4571,8/11/2013 10:58,84,8/11/2013 10:28,189,California Ave & Milwaukee Ave,"1,826",202088
398,,,Lake Shore Dr & Wellington Ave,Racine Ave & Fullerton Ave,Lake Shore Dr & Wellington Ave,Customer,3084,8/11/2013 13:43,189,8/11/2013 13:07,234,Racine Ave & Fullerton Ave,"2,156",203839
398,,,Lake Shore Dr & Wellington Ave,Lake Shore Dr & Wellington Ave,Lake Shore Dr & Wellington Ave,Customer,0,8/11/2013 14:50,234,8/11/2013 13:53,234,Lake Shore Dr & Wellington Ave,"3,429",204386
398,,,Lake Shore Dr & Monroe St,Michigan Ave & Oak St,Lake Shore Dr & Monroe St,Customer,3603,8/11/2013 17:46,42,8/11/2013 17:18,300,Michigan Ave & Oak St,"1,696",206869
398,,,Streeter Dr & Illinois St,Lake Shore Dr & Monroe St,Streeter Dr & Illinois St,Customer,1455,8/11/2013 19:32,300,8/11/2013 17:47,22,Lake Shore Dr & Monroe St,"6,344",207156
398,,,Canal St & Madison St,Streeter Dr & Illinois St,Canal St & Madison St,Customer,3771,8/11/2013 20:16,22,8/11/2013 19:51,341,Streeter Dr & Illinois St,"1,531",207705
398,,,State St & Erie St,Michigan Ave & Lake St,State St & Erie St,Customer,1515,8/13/2013 14:55,43,8/13/2013 14:44,45,Michigan Ave & Lake St,691,217718
398,,,Franklin St & Jackson Blvd,State St & Erie St,Franklin St & Jackson Blvd,Customer,2666,8/13/2013 18:03,45,8/13/2013 17:35,19,State St & Erie St,"1,697",219494
398,,,State St & Wacker Dr,Michigan Ave & Congress Pkwy,State St & Wacker Dr,Customer,1693,8/14/2013 19:52,40,8/14/2013 18:50,339,Michigan Ave & Congress Pkwy,"3,771",226811
398,,,Millennium Park,State St & Wacker Dr,Millennium Park,Customer,1133,8/14/2013 20:04,339,8/14/2013 19:57,8,State St & Wacker Dr,426,227323
398,,,Millennium Park,Millennium Park,Millennium Park,Customer,0,8/14/2013 20:32,8,8/14/2013 20:06,8,Millennium Park,"1,608",227380
398,,,Millennium Park,Millennium Park,Millennium Park,Customer,0,8/14/2013 21:58,8,8/14/2013 21:42,8,Millennium Park,"1,004",227866
398,,,Canal St & Jackson Blvd,Millennium Park,Canal St & Jackson Blvd,Customer,2039,8/14/2013 22:47,8,8/14/2013 22:38,138,Millennium Park,517,228104
398,,,Clark St & Wellington Ave,Sedgwick St & Webster Ave,Clark St & Wellington Ave,Customer,1851,8/15/2013 17:40,191,8/15/2013 17:28,232,Sedgwick St & Webster Ave,708,232696
398,,,Lake Shore Dr & Wellington Ave,Clark St & Wellington Ave,Lake Shore Dr & Wellington Ave,Customer,891,8/15/2013 17:52,232,8/15/2013 17:42,234,Clark St & Wellington Ave,612,232855
398,,,Kingsbury St & Erie St,State St & Erie St,Kingsbury St & Erie St,Customer,1353,8/16/2013 17:12,45,8/16/2013 16:58,265,State St & Erie St,835,240259
398,,,Wood St & Division St,Damen Ave & Chicago Ave,Wood St & Division St,Customer,1200,8/16/2013 23:49,132,8/16/2013 23:43,246,Damen Ave & Chicago Ave,393,243230
398,,,Damen Ave & Division St,Wood St & Division St,Damen Ave & Division St,Customer,349,8/17/2013 11:42,246,8/17/2013 11:11,136,Wood St & Division St,"1,825",245322
398,,,Wood St & Division St,Damen Ave & Division St,Wood St & Division St,Customer,349,8/17/2013 12:22,136,8/17/2013 11:43,246,Damen Ave & Division St,"2,350",245699
