bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
1843,,,Streeter Dr & Illinois St,Clark St & Randolph St,Streeter Dr & Illinois St,Customer,2428,9/14/2013 11:36,5,9/14/2013 11:07,22,Clark St & Randolph St,"1,757",492294
1843,,,Michigan Ave & Oak St,Streeter Dr & Illinois St,Michigan Ave & Oak St,Customer,2094,9/14/2013 12:08,22,9/14/2013 11:54,42,Streeter Dr & Illinois St,873,493040
1843,,,St Clair St & Erie St,Clark St & North Ave,St Clair St & Erie St,Customer,2640,9/14/2013 14:23,128,9/14/2013 13:57,16,Clark St & North Ave,"1,562",495382
1843,,,Lake Shore Dr & Wellington Ave,St Clair St & Erie St,Lake Shore Dr & Wellington Ave,Customer,5741,9/14/2013 14:53,16,9/14/2013 14:30,234,St Clair St & Erie St,"1,342",495991
1843,,,Cannon Dr & Fullerton Ave,Lake Shore Dr & Wellington Ave,Cannon Dr & Fullerton Ave,Customer,1440,9/14/2013 15:44,234,9/14/2013 15:33,124,Lake Shore Dr & Wellington Ave,637,497246
1843,,,McClurg Ct & Illinois St,Cannon Dr & Fullerton Ave,McClurg Ct & Illinois St,Customer,5215,9/14/2013 16:28,124,9/14/2013 16:01,51,Cannon Dr & Fullerton Ave,"1,599",497726
1843,,,Wabash Ave & Grand Ave,McClurg Ct & Illinois St,Wabash Ave & Grand Ave,Customer,881,9/14/2013 16:39,51,9/14/2013 16:31,4,McClurg Ct & Illinois St,468,498225
1843,,,State St & Erie St,Wabash Ave & Grand Ave,State St & Erie St,Customer,583,9/14/2013 19:36,4,9/14/2013 19:13,45,Wabash Ave & Grand Ave,"1,361",500564
1843,,,Millennium Park,Clinton St & Madison St,Millennium Park,Customer,1543,9/15/2013 11:39,301,9/15/2013 11:26,8,Clinton St & Madison St,780,503269
1843,,,Museum Campus,Millennium Park,Museum Campus,Customer,2745,9/15/2013 11:56,8,9/15/2013 11:41,29,Millennium Park,911,503308
1843,,,State St & Randolph St,Museum Campus,State St & Randolph St,Customer,3470,9/15/2013 15:41,29,9/15/2013 15:20,2,Museum Campus,"1,247",503896
1843,,,State St & Randolph St,State St & Randolph St,State St & Randolph St,Customer,0,9/16/2013 13:59,2,9/16/2013 13:48,2,State St & Randolph St,650,508016
1843,,,Michigan Ave & Lake St,State St & Randolph St,Michigan Ave & Lake St,Customer,426,9/16/2013 14:25,2,9/16/2013 14:05,43,State St & Randolph St,"1,242",508122
1843,,,Museum Campus,Michigan Ave & Lake St,Museum Campus,Customer,3503,9/16/2013 15:29,43,9/16/2013 14:28,29,Michigan Ave & Lake St,"3,676",508268
1843,,,Lake Shore Dr & Ohio St,Wells St & Polk St,Lake Shore Dr & Ohio St,Customer,8018,9/17/2013 12:58,344,9/17/2013 12:28,337,Wells St & Polk St,"1,837",515650
1843,,,Cannon Dr & Fullerton Ave,Lake Shore Dr & Ohio St,Cannon Dr & Fullerton Ave,Customer,5417,9/17/2013 15:45,337,9/17/2013 14:21,124,Lake Shore Dr & Ohio St,"5,057",516517
1843,,,Millennium Park,Millennium Park,Millennium Park,Customer,0,9/17/2013 18:13,8,9/17/2013 17:55,8,Millennium Park,"1,076",519046
1843,,,Sheffield Ave & Addison St,Theater on the Lake,Sheffield Ave & Addison St,Customer,3763,9/17/2013 22:05,350,9/17/2013 21:44,62,Theater on the Lake,"1,277",520836
1843,,,Sheffield Ave & Addison St,Sheffield Ave & Addison St,Sheffield Ave & Addison St,Customer,0,9/18/2013 15:48,62,9/18/2013 15:44,62,Sheffield Ave & Addison St,207,525762
1843,,,Sheffield Ave & Addison St,Sheffield Ave & Addison St,Sheffield Ave & Addison St,Customer,0,9/18/2013 15:59,62,9/18/2013 15:48,62,Sheffield Ave & Addison St,631,525801
1843,,,Logan Blvd & Elston Ave,Wilton Ave & Belmont Ave,Logan Blvd & Elston Ave,Customer,3639,9/19/2013 17:47,69,9/19/2013 17:16,145,Wilton Ave & Belmont Ave,"1,881",531400
1843,,,Clybourn Ave & Division St,Logan Blvd & Elston Ave,Clybourn Ave & Division St,Customer,5264,9/21/2013 19:39,145,9/21/2013 19:15,171,Logan Blvd & Elston Ave,"1,474",553239
1843,,,Fairbanks Ct & Grand Ave,Clybourn Ave & Division St,Fairbanks Ct & Grand Ave,Customer,3076,9/21/2013 20:09,171,9/21/2013 19:40,262,Clybourn Ave & Division St,"1,706",553461
1843,,,Canal St & Monroe St,Fairbanks Ct & Grand Ave,Canal St & Monroe St,Customer,3065,9/22/2013 0:34,262,9/22/2013 0:07,56,Fairbanks Ct & Grand Ave,"1,623",554742
1843,,,Clark St & Randolph St,Clark St & Elm St,Clark St & Randolph St,Customer,2165,9/24/2013 9:07,349,9/24/2013 8:51,5,Clark St & Elm St,914,574652
1843,,,Wilton Ave & Belmont Ave,Broadway & Berwyn Ave,Wilton Ave & Belmont Ave,Customer,5278,9/27/2013 18:08,109,9/27/2013 16:56,69,Broadway & Berwyn Ave,"4,366",608061
1843,,,Damen Ave & Cortland Ave,Sheffield Ave & Wellington Ave,Damen Ave & Cortland Ave,Customer,4160,9/28/2013 9:35,67,9/28/2013 9:17,133,Sheffield Ave & Wellington Ave,"1,087",613152
1843,,,Wells St & Ohio St,Hampden Ct & Diversey Pkwy,Wells St & Ohio St,Customer,4819,9/28/2013 14:38,123,9/28/2013 13:49,264,Hampden Ct & Diversey Pkwy,"2,990",617622
1843,,,Clark St & Elm St,Wells St & Ohio St,Clark St & Elm St,Customer,1865,9/28/2013 15:44,264,9/28/2013 15:31,349,Wells St & Ohio St,788,619866
1843,,,Larrabee St & Armitage Ave,Clark St & Elm St,Larrabee St & Armitage Ave,Customer,2433,9/28/2013 16:52,349,9/28/2013 15:59,184,Clark St & Elm St,"3,207",620451
1843,,,Wentworth Ave & Archer Ave,Larrabee St & Armitage Ave,Wentworth Ave & Archer Ave,Customer,10967,9/28/2013 17:05,184,9/28/2013 16:55,75,Larrabee St & Armitage Ave,583,621601
1843,,,Wabash Ave & Roosevelt Rd,Wentworth Ave & Archer Ave,Wabash Ave & Roosevelt Rd,Customer,1912,9/28/2013 17:48,75,9/28/2013 17:38,31,Wentworth Ave & Archer Ave,633,622462
1843,,,State St & Randolph St,Wabash Ave & Roosevelt Rd,State St & Randolph St,Customer,2427,9/28/2013 18:26,31,9/28/2013 18:09,2,Wabash Ave & Roosevelt Rd,"1,017",622989
1843,,,State St & Randolph St,State St & Randolph St,State St & Randolph St,Customer,0,9/28/2013 18:31,2,9/28/2013 18:29,2,State St & Randolph St,100,623284
1843,,,State St & Pearson St,State St & Randolph St,State St & Pearson St,Customer,1461,9/28/2013 18:48,2,9/28/2013 18:32,14,State St & Randolph St,927,623339
1843,,,Wentworth Ave & Archer Ave,Sedgwick St & Webster Ave,Wentworth Ave & Archer Ave,Customer,10756,9/29/2013 18:05,191,9/29/2013 17:05,75,Sedgwick St & Webster Ave,"3,592",633632
1843,,,Indiana Ave & Roosevelt Rd,Wentworth Ave & Archer Ave,Indiana Ave & Roosevelt Rd,Customer,2311,9/30/2013 0:16,75,9/29/2013 23:54,309,Wentworth Ave & Archer Ave,"1,282",636320
1843,,,Campbell Ave & North Ave,Damen Ave & Pierce Ave,Campbell Ave & North Ave,Customer,1470,9/30/2013 16:47,65,9/30/2013 16:32,257,Damen Ave & Pierce Ave,918,641924
1843,,,Racine Ave & Congress Pkwy,Racine Ave & 15th St,Racine Ave & Congress Pkwy,Customer,1502,10/4/2013 20:12,304,10/4/2013 20:02,76,Racine Ave & 15th St,622,682940
