bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
636,,,Michigan Ave & Oak St,Lake Shore Dr & Monroe St,Michigan Ave & Oak St,Customer,3603,7/24/2013 18:00,300,7/24/2013 17:29,42,Lake Shore Dr & Monroe St,"1,870",102417
636,,,Halsted St & 35th St,Michigan Ave & Oak St,Halsted St & 35th St,Customer,11491,7/24/2013 20:39,42,7/24/2013 19:32,413,Michigan Ave & Oak St,"4,030",103096
636,,,Millennium Park,Halsted St & 35th St,Millennium Park,Customer,7101,7/25/2013 8:04,413,7/25/2013 7:40,8,Halsted St & 35th St,"1,465",104182
636,,,McClurg Ct & Illinois St,Daley Center Plaza,McClurg Ct & Illinois St,Customer,1789,7/25/2013 14:59,23,7/25/2013 14:28,51,Daley Center Plaza,"1,867",105967
636,,,Racine Ave & 18th St,Wabash Ave & Roosevelt Rd,Racine Ave & 18th St,Customer,3676,7/27/2013 0:27,31,7/27/2013 0:10,164,Wabash Ave & Roosevelt Rd,"1,013",112316
636,,,Wabash Ave & Roosevelt Rd,Racine Ave & 18th St,Wabash Ave & Roosevelt Rd,Customer,3554,7/28/2013 17:27,164,7/28/2013 17:01,31,Racine Ave & 18th St,"1,505",120258
636,,,Museum Campus,Racine Ave & 18th St,Museum Campus,Customer,4529,7/28/2013 21:53,164,7/28/2013 21:35,29,Racine Ave & 18th St,"1,082",121681
636,,,Fort Dearborn Dr & 31st St,Museum Campus,Fort Dearborn Dr & 31st St,Customer,3620,7/28/2013 22:38,29,7/28/2013 22:20,220,Museum Campus,"1,078",121815
636,,,Lake Shore Dr & Monroe St,Fort Dearborn Dr & 31st St,Lake Shore Dr & Monroe St,Customer,5372,7/29/2013 7:29,220,7/29/2013 7:12,300,Fort Dearborn Dr & 31st St,976,122185
636,,,Cannon Dr & Fullerton Ave,Lake Shore Dr & Monroe St,Cannon Dr & Fullerton Ave,Customer,6522,7/29/2013 7:51,300,7/29/2013 7:29,124,Lake Shore Dr & Monroe St,"1,329",122242
636,,,Lake Shore Dr & Ohio St,Cannon Dr & Fullerton Ave,Lake Shore Dr & Ohio St,Customer,4480,7/29/2013 8:10,124,7/29/2013 7:55,337,Cannon Dr & Fullerton Ave,919,122350
636,,,Ellis Ave & 58th St,Lake Shore Dr & Ohio St,Ellis Ave & 58th St,Customer,15261,7/29/2013 8:26,337,7/29/2013 8:12,365,Lake Shore Dr & Ohio St,845,122448
636,,,Michigan Ave & Congress Pkwy,Ellis Ave & 58th St,Michigan Ave & Congress Pkwy,Customer,13299,7/29/2013 10:00,365,7/29/2013 9:38,40,Ellis Ave & 58th St,"1,352",122835
636,,,Museum Campus,Michigan Ave & Congress Pkwy,Museum Campus,Customer,2307,7/29/2013 14:11,40,7/29/2013 13:53,29,Michigan Ave & Congress Pkwy,"1,107",124088
636,,,Lake Shore Dr & Ohio St,Museum Campus,Lake Shore Dr & Ohio St,Customer,9679,7/29/2013 14:57,29,7/29/2013 14:29,337,Museum Campus,"1,717",124294
636,,,Michigan Ave & Oak St,Lake Shore Dr & Ohio St,Michigan Ave & Oak St,Customer,2498,7/29/2013 15:23,337,7/29/2013 14:59,42,Lake Shore Dr & Ohio St,"1,426",124494
636,,,McClurg Ct & Illinois St,LaSalle St & Illinois St,McClurg Ct & Illinois St,Customer,1223,7/30/2013 19:25,430,7/30/2013 18:42,51,LaSalle St & Illinois St,"2,589",130094
636,,,Milwaukee Ave & Wabansia Ave,Clinton St & Lake St,Milwaukee Ave & Wabansia Ave,Customer,4674,7/31/2013 16:49,21,7/31/2013 16:30,243,Clinton St & Lake St,"1,182",133094
636,,,Claremont Ave & Hirsch St,Canal St & Jackson Blvd,Claremont Ave & Hirsch St,Customer,6682,8/1/2013 17:54,138,8/1/2013 17:24,245,Canal St & Jackson Blvd,"1,783",138345
636,,,Loomis St & Taylor St,Claremont Ave & Hirsch St,Loomis St & Taylor St,Customer,6290,8/1/2013 21:36,245,8/1/2013 21:22,139,Claremont Ave & Hirsch St,871,139826
636,,,Paulina St & Diversey Pkwy,Loomis St & Taylor St,Paulina St & Diversey Pkwy,Customer,8902,8/2/2013 20:23,139,8/2/2013 20:04,271,Loomis St & Taylor St,"1,180",144414
