bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
2214,,,Lake Shore Dr & North Blvd,Millennium Park,Lake Shore Dr & North Blvd,Customer,5227,9/20/2013 12:12,8,9/20/2013 11:05,328,Millennium Park,"4,056",536981
2214,,,Streeter Dr & Illinois St,Lake Shore Dr & North Blvd,Streeter Dr & Illinois St,Customer,3304,9/20/2013 15:40,328,9/20/2013 14:19,22,Lake Shore Dr & North Blvd,"4,881",538509
2214,,,St Clair St & Erie St,Streeter Dr & Illinois St,St Clair St & Erie St,Customer,1361,9/20/2013 16:06,22,9/20/2013 15:58,16,Streeter Dr & Illinois St,507,539482
2214,,,Clark St & Montrose Ave,Broadway & Barry Ave,Clark St & Montrose Ave,Customer,3548,9/24/2013 19:44,137,9/24/2013 19:29,316,Broadway & Barry Ave,902,580620
2214,,,Broadway & Wilson Ave,Clark St & Montrose Ave,Broadway & Wilson Ave,Customer,1068,9/25/2013 8:56,316,9/25/2013 8:50,74,Clark St & Montrose Ave,378,583541
2214,,,Damen Ave & Pierce Ave,California Ave & Milwaukee Ave,Damen Ave & Pierce Ave,Customer,2448,9/28/2013 12:09,84,9/28/2013 11:57,65,California Ave & Milwaukee Ave,736,615337
2214,,,Wood St & Grand Ave,Damen Ave & Pierce Ave,Wood St & Grand Ave,Customer,2463,9/28/2013 13:29,65,9/28/2013 13:19,432,Damen Ave & Pierce Ave,607,617003
2214,,,Ogden Ave & Race Ave,Wood St & Grand Ave,Ogden Ave & Race Ave,Customer,1328,9/29/2013 17:37,432,9/29/2013 17:28,194,Wood St & Grand Ave,530,633980
2214,,,Canal St & Jackson Blvd,Wells St & Erie St,Canal St & Jackson Blvd,Customer,2443,9/30/2013 17:54,64,9/30/2013 17:42,138,Wells St & Erie St,724,643336
2214,,,Ashland Ave & Augusta Blvd,Sheffield Ave & Addison St,Ashland Ave & Augusta Blvd,Customer,7306,10/2/2013 22:36,62,10/2/2013 22:14,248,Sheffield Ave & Addison St,"1,308",666128
2214,,,Cityfront Plaza & N Water St,Wabash Ave & 8th St,Cityfront Plaza & N Water St,Customer,2585,10/4/2013 13:31,54,10/4/2013 12:14,427,Wabash Ave & 8th St,"4,604",677154
