bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,overage,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
1374,,Greenview Ave & Fullerton Ave,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,,6723,2.0,Dearborn St & Adams St,8/7/2013 18:34,8/7/2013 19:26,41.92533,-87.6658,295,Greenview Ave & Fullerton Ave,176494,3100,Customer
1374,,Dearborn St & Adams St,41.92533,-87.6658,295,Greenview Ave & Fullerton Ave,,7046,2.0,Greenview Ave & Fullerton Ave,8/8/2013 9:28,8/8/2013 10:15,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,178759,2794,Customer
1374,,Dearborn St & Adams St,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,,0,0,Dearborn St & Adams St,8/8/2013 12:11,8/8/2013 12:14,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,179556,151,Customer
1374,,Canal St & Adams St,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,,847,0,Dearborn St & Adams St,8/8/2013 12:42,8/8/2013 12:52,41.87923,-87.640015,11,Canal St & Adams St,179743,586,Customer
1374,1978,Clinton St & Washington Blvd,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,Male,1357,0,Franklin St & Jackson Blvd,8/9/2013 15:24,8/9/2013 15:29,41.88338,-87.64117,10,Clinton St & Washington Blvd,187964,285,Subscriber
1374,1969,State St & 16th St,41.884337,-87.630183,23,Daley Center Plaza,Female,3062,0,Daley Center Plaza,8/9/2013 17:03,8/9/2013 17:25,41.8601213774,-87.6277291853,148,State St & 16th St,188921,1297,Subscriber
1374,1969,Wabash Ave & Cermak Rd,41.8601213774,-87.6277291853,148,State St & 16th St,Female,947,0,State St & 16th St,8/9/2013 18:02,8/9/2013 18:07,41.8532387578,-87.6253370902,170,Wabash Ave & Cermak Rd,189533,309,Subscriber
1374,,Fairbanks Ct & Grand Ave,41.8532387578,-87.6253370902,170,Wabash Ave & Cermak Rd,,6216,0,Wabash Ave & Cermak Rd,8/9/2013 20:04,8/9/2013 20:25,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,190494,1245,Customer
1374,,Orleans St & Merchandise Mart Plaza,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,,1788,0,Fairbanks Ct & Grand Ave,8/9/2013 20:51,8/9/2013 21:05,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,190733,802,Customer
1374,,Ellis Ave & 58th St,41.8847302006,-87.6277335692,2,State St & Randolph St,,14979,0,State St & Randolph St,8/9/2013 22:34,8/9/2013 22:51,41.788746,-87.601334,365,Ellis Ave & 58th St,191180,1051,Customer
