bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
1198,,Michigan Ave & Oak St,41.89102,-87.6173,51,McClurg Ct & Illinois St,,2582,McClurg Ct & Illinois St,8/6/2013 13:52,8/6/2013 14:11,41.90096039,-87.62377664,42,Michigan Ave & Oak St,168715,"1,128",Customer
1198,,Michigan Ave & Lake St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,1637,Michigan Ave & Pearson St,8/6/2013 15:35,8/6/2013 15:43,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,169405,460,Customer
1198,1982,Desplaines St & Kinzie St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,Male,2150,Michigan Ave & Lake St,8/6/2013 16:41,8/6/2013 16:50,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,169927,514,Subscriber
1198,1981,Carpenter St & Huron St,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,Female,1108,Desplaines St & Kinzie St,8/6/2013 19:36,8/6/2013 19:42,41.894556,-87.653449,196,Carpenter St & Huron St,171391,350,Subscriber
1198,,Wood St & Division St,41.894556,-87.653449,196,Carpenter St & Huron St,,1985,Carpenter St & Huron St,8/7/2013 11:19,8/7/2013 11:28,41.90332,-87.67273,246,Wood St & Division St,173959,535,Customer
1198,1980,Ogden Ave & Chicago Ave,41.90332,-87.67273,246,Wood St & Division St,Female,1840,Wood St & Division St,8/9/2013 16:16,8/9/2013 16:25,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,188409,546,Subscriber
1198,,Milwaukee Ave & Wabansia Ave,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,,2941,Ogden Ave & Chicago Ave,8/9/2013 18:09,8/9/2013 18:47,41.912616,-87.681391,243,Milwaukee Ave & Wabansia Ave,189590,"2,328",Customer
1198,,Wood St & Division St,41.912616,-87.681391,243,Milwaukee Ave & Wabansia Ave,,1596,Milwaukee Ave & Wabansia Ave,8/9/2013 19:27,8/9/2013 19:37,41.90332,-87.67273,246,Wood St & Division St,190222,626,Customer
1198,,Wilton Ave & Diversey Pkwy,41.90332,-87.67273,246,Wood St & Division St,,4943,Wood St & Division St,8/9/2013 22:12,8/9/2013 22:44,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,191086,"1,929",Customer
1198,1953,Mies van der Rohe Way & Chicago Ave,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,Male,6203,Wilton Ave & Diversey Pkwy,8/10/2013 10:34,8/10/2013 10:58,41.89691,-87.621743,338,Mies van der Rohe Way & Chicago Ave,192640,"1,419",Subscriber
1198,,Michigan Ave & Pearson St,41.89691,-87.621743,338,Mies van der Rohe Way & Chicago Ave,,216,Mies van der Rohe Way & Chicago Ave,8/10/2013 11:04,8/10/2013 12:00,41.89766,-87.62351,34,Michigan Ave & Pearson St,192867,"3,412",Customer
1198,,Michigan Ave & Washington St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,1865,Michigan Ave & Pearson St,8/10/2013 13:40,8/10/2013 14:14,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,194815,"2,077",Customer
1198,,Streeter Dr & Illinois St,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,,1892,Michigan Ave & Washington St,8/10/2013 14:24,8/10/2013 14:54,41.891071,-87.6122,22,Streeter Dr & Illinois St,195444,"1,811",Customer
1198,,Clinton St & Lake St,41.891071,-87.6122,22,Streeter Dr & Illinois St,,3229,Streeter Dr & Illinois St,8/10/2013 21:04,8/10/2013 21:28,41.8858327415,-87.6413823149,21,Clinton St & Lake St,200018,"1,413",Customer
1198,1959,Michigan Ave & Lake St,41.8858327415,-87.6413823149,21,Clinton St & Lake St,Female,1442,Clinton St & Lake St,8/11/2013 9:01,8/11/2013 9:11,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,201555,586,Subscriber
1198,,Streeter Dr & Illinois St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,1536,Michigan Ave & Lake St,8/11/2013 9:27,8/11/2013 9:43,41.891071,-87.6122,22,Streeter Dr & Illinois St,201689,"1,005",Customer
1198,1986,Millennium Park,41.891071,-87.6122,22,Streeter Dr & Illinois St,Female,2939,Streeter Dr & Illinois St,8/11/2013 9:55,8/11/2013 10:07,41.8810317,-87.62408432,8,Millennium Park,201863,673,Subscriber
1198,,Museum Campus,41.8810317,-87.62408432,8,Millennium Park,,2745,Millennium Park,8/11/2013 11:04,8/11/2013 11:26,41.865212,-87.617759,29,Museum Campus,202444,"1,338",Customer
1198,,Ashland Ave & Wellington Ave,41.865212,-87.617759,29,Museum Campus,,11985,Museum Campus,8/11/2013 11:33,8/11/2013 11:56,41.936083,-87.669807,269,Ashland Ave & Wellington Ave,202758,"1,419",Customer
1198,,Michigan Ave & Oak St,41.936083,-87.669807,269,Ashland Ave & Wellington Ave,,6144,Ashland Ave & Wellington Ave,8/11/2013 11:59,8/11/2013 12:37,41.90096039,-87.62377664,42,Michigan Ave & Oak St,203026,"2,272",Customer
1198,,Ashland Ave & Wellington Ave,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,,7926,Fairbanks Ct & Grand Ave,8/11/2013 16:54,8/11/2013 17:28,41.936083,-87.669807,269,Ashland Ave & Wellington Ave,206607,"2,060",Customer
1198,,Ashland Ave & Wellington Ave,41.936083,-87.669807,269,Ashland Ave & Wellington Ave,,0,Ashland Ave & Wellington Ave,8/11/2013 19:02,8/11/2013 19:41,41.936083,-87.669807,269,Ashland Ave & Wellington Ave,207498,"2,295",Customer
1198,,Wabash Ave & Grand Ave,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,,1042,Michigan Ave & Washington St,8/12/2013 10:18,8/12/2013 10:42,41.891738,-87.626937,4,Wabash Ave & Grand Ave,209961,"1,428",Customer
1198,,State St & Wacker Dr,41.891738,-87.626937,4,Wabash Ave & Grand Ave,,1223,Wabash Ave & Grand Ave,8/12/2013 11:00,8/12/2013 11:04,41.887155,-87.62775,339,State St & Wacker Dr,210195,265,Customer
1198,,Michigan Ave & Washington St,41.887155,-87.62775,339,State St & Wacker Dr,,745,State St & Wacker Dr,8/12/2013 11:33,8/12/2013 11:40,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,210387,456,Customer
1198,1978,Clinton St & Washington Blvd,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,Male,1568,Michigan Ave & Washington St,8/12/2013 16:38,8/12/2013 16:46,41.88338,-87.64117,10,Clinton St & Washington Blvd,212470,478,Subscriber
1198,1980,Kimbark Ave & 53rd St,41.88338,-87.64117,10,Clinton St & Washington Blvd,Male,13677,Clinton St & Washington Blvd,8/13/2013 7:34,8/13/2013 7:38,41.799568,-87.594747,397,Kimbark Ave & 53rd St,214947,232,Subscriber
1198,1974,Mies van der Rohe Way & Chicago Ave,41.799568,-87.594747,397,Kimbark Ave & 53rd St,Male,14107,Kimbark Ave & 53rd St,8/13/2013 7:41,8/13/2013 7:55,41.89691,-87.621743,338,Mies van der Rohe Way & Chicago Ave,214966,837,Subscriber
