bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
296,1968,Martin Luther King Dr & Oakwood Blvd,41.89102,-87.6173,51,McClurg Ct & Illinois St,Male,9457,McClurg Ct & Illinois St,6/28/2013 13:13,6/28/2013 13:33,41.82256,-87.61615,420,Martin Luther King Dr & Oakwood Blvd,5952,"1,220",Subscriber
296,,May St & Randolph St,41.8671177825,-87.6410879593,327,Clinton St & Roosevelt Rd,,3211,Clinton St & Roosevelt Rd,6/30/2013 13:04,6/30/2013 13:24,41.88397,-87.655688,155,May St & Randolph St,10479,"1,214",Customer
296,,Wood St & Division St,41.88397,-87.655688,155,May St & Randolph St,,3544,May St & Randolph St,6/30/2013 14:48,6/30/2013 15:11,41.90332,-87.67273,246,Wood St & Division St,10958,"1,386",Customer
296,,Wood St & Milwaukee Ave,41.90332,-87.67273,246,Wood St & Division St,,599,Wood St & Division St,6/30/2013 15:13,6/30/2013 15:29,41.907655,-87.672552,221,Wood St & Milwaukee Ave,11103,996,Customer
296,,Sheffield Ave & Kingsbury St,41.907655,-87.672552,221,Wood St & Milwaukee Ave,,3113,Wood St & Milwaukee Ave,6/30/2013 15:30,6/30/2013 15:43,41.90959193,-87.65349723,154,Sheffield Ave & Kingsbury St,11184,781,Customer
296,,Michigan Ave & Washington St,41.90959193,-87.65349723,154,Sheffield Ave & Kingsbury St,,5075,Sheffield Ave & Kingsbury St,6/30/2013 15:43,6/30/2013 16:09,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,11246,"1,554",Customer
296,,Wells St & Erie St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,1563,Michigan Ave & Pearson St,7/1/2013 12:06,7/1/2013 12:15,41.893832,-87.634195,64,Wells St & Erie St,13392,545,Customer
296,,Wells St & Erie St,41.893832,-87.634195,64,Wells St & Erie St,,0,Wells St & Erie St,7/1/2013 12:21,7/1/2013 12:31,41.893832,-87.634195,64,Wells St & Erie St,13480,588,Customer
296,1985,Millennium Park,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,Female,2661,Desplaines St & Kinzie St,7/3/2013 19:11,7/3/2013 19:24,41.8810317,-87.62408432,8,Millennium Park,21431,765,Subscriber
296,,Michigan Ave & Oak St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,1679,Michigan Ave & Lake St,7/3/2013 23:09,7/4/2013 17:01,41.90096039,-87.62377664,42,Michigan Ave & Oak St,21684,"64,279",Customer
296,1983,Dearborn St & Adams St,41.90096039,-87.62377664,42,Michigan Ave & Oak St,Male,2920,Michigan Ave & Oak St,7/4/2013 17:04,7/4/2013 17:26,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,24301,"1,335",Subscriber
296,1983,Wood St & Division St,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,Male,5301,Dearborn St & Adams St,7/4/2013 17:27,7/4/2013 17:51,41.90332,-87.67273,246,Wood St & Division St,24445,"1,427",Subscriber
296,1983,Damen Ave & Pierce Ave,41.90332,-87.67273,246,Wood St & Division St,Male,1160,Wood St & Division St,7/4/2013 17:51,7/4/2013 17:55,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,24565,278,Subscriber
296,1971,Noble St & Milwaukee Ave,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,Male,1738,Damen Ave & Pierce Ave,7/5/2013 13:23,7/5/2013 13:31,41.90068,-87.6626,290,Noble St & Milwaukee Ave,27331,521,Subscriber
296,1982,State St & Kinzie St,41.90068,-87.6626,290,Noble St & Milwaukee Ave,Male,3391,Noble St & Milwaukee Ave,7/5/2013 18:47,7/5/2013 19:07,41.88918,-87.6277,50,State St & Kinzie St,29094,"1,160",Subscriber
296,,Clarendon Ave & Leland Ave,41.88918,-87.6277,50,State St & Kinzie St,,11684,State St & Kinzie St,7/5/2013 19:14,7/5/2013 19:41,41.967968,-87.650001,385,Clarendon Ave & Leland Ave,29208,"1,657",Customer
296,,Racine Ave & Congress Pkwy,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,3453,Wabash Ave & Roosevelt Rd,7/5/2013 21:12,7/5/2013 21:29,41.87464,-87.65703,76,Racine Ave & Congress Pkwy,29570,967,Customer
296,,Halsted St & James M Rochford St,41.87464,-87.65703,76,Racine Ave & Congress Pkwy,,2076,Racine Ave & Congress Pkwy,7/5/2013 23:40,7/5/2013 23:50,41.865861,-87.646611,166,Halsted St & James M Rochford St,29906,623,Customer
296,,Wabash Ave & Roosevelt Rd,41.865861,-87.646611,166,Halsted St & James M Rochford St,,1925,Halsted St & James M Rochford St,7/6/2013 13:07,7/6/2013 13:24,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,31309,996,Customer
296,,Franklin St & Lake St,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,2832,Wabash Ave & Roosevelt Rd,7/6/2013 13:59,7/6/2013 14:55,41.885837,-87.6355,272,Franklin St & Lake St,31586,"3,352",Customer
296,,Sheffield Ave & Fullerton Ave,41.885837,-87.6355,272,Franklin St & Lake St,,5138,Franklin St & Lake St,7/6/2013 14:57,7/6/2013 15:17,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,31944,"1,170",Customer
296,,Wilton Ave & Diversey Pkwy,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,867,Sheffield Ave & Fullerton Ave,7/6/2013 15:17,7/6/2013 15:23,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,32096,359,Customer
296,,Damen Ave & Pierce Ave,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,3708,Sheffield Ave & Fullerton Ave,7/7/2013 1:13,7/7/2013 1:47,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,34049,"2,040",Customer
296,,Desplaines St & Kinzie St,41.907655,-87.672552,221,Wood St & Milwaukee Ave,,3171,Wood St & Milwaukee Ave,7/7/2013 11:51,7/7/2013 12:17,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,34730,"1,510",Customer
296,,Michigan Ave & Pearson St,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,,2724,Desplaines St & Kinzie St,7/7/2013 13:12,7/7/2013 13:42,41.89766,-87.62351,34,Michigan Ave & Pearson St,35085,"1,788",Customer
296,,Fairbanks Ct & Grand Ave,41.89766,-87.62351,34,Michigan Ave & Pearson St,,941,Michigan Ave & Pearson St,7/7/2013 13:56,7/7/2013 14:21,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,35330,"1,495",Customer
296,,Clark St & Wrightwood Ave,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,,5321,Fairbanks Ct & Grand Ave,7/7/2013 14:29,7/7/2013 15:22,41.929546,-87.643118,209,Clark St & Wrightwood Ave,35480,"3,156",Customer
296,,Michigan Ave & Lake St,41.929546,-87.643118,209,Clark St & Wrightwood Ave,,5669,Clark St & Wrightwood Ave,7/7/2013 15:29,7/7/2013 15:43,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,35778,829,Customer
296,,Michigan Ave & Pearson St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,1329,Michigan Ave & Lake St,7/7/2013 15:45,7/7/2013 15:53,41.89766,-87.62351,34,Michigan Ave & Pearson St,35840,479,Customer
296,,Michigan Ave & Oak St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,1077,Michigan Ave & Pearson St,7/7/2013 16:13,7/7/2013 17:19,41.90096039,-87.62377664,42,Michigan Ave & Oak St,35962,"3,966",Customer
296,,Lake Shore Dr & Monroe St,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,3603,Michigan Ave & Oak St,7/7/2013 18:49,7/7/2013 19:11,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,36588,"1,276",Customer
296,1986,Clark St & Randolph St,41.8815824,-87.64127743,301,Clinton St & Madison St,Male,1713,Clinton St & Madison St,7/8/2013 9:41,7/8/2013 9:49,41.884576228,-87.63188991,5,Clark St & Randolph St,37518,485,Subscriber
