bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
6,,,Sheffield Ave & Fullerton Ave,Desplaines St & Kinzie St,Sheffield Ave & Fullerton Ave,Customer,4404,7/1/2013 19:11,39,7/1/2013 18:47,60,Desplaines St & Kinzie St,"1,443",15752
6,,,Lincoln Ave & Armitage Ave,Lincoln Ave & Armitage Ave,Lincoln Ave & Armitage Ave,Customer,0,7/4/2013 11:00,146,7/4/2013 10:53,146,Lincoln Ave & Armitage Ave,453,22145
6,,,Dayton St & North Ave,Lincoln Ave & Armitage Ave,Dayton St & North Ave,Customer,1813,7/4/2013 12:07,146,7/4/2013 11:55,58,Lincoln Ave & Armitage Ave,697,22407
6,,,McClurg Ct & Illinois St,Dayton St & North Ave,McClurg Ct & Illinois St,Customer,4415,7/4/2013 13:01,58,7/4/2013 12:12,51,Dayton St & North Ave,"2,957",22496
6,,,Michigan Ave & Pearson St,McClurg Ct & Illinois St,Michigan Ave & Pearson St,Customer,1368,7/4/2013 13:26,51,7/4/2013 13:08,34,McClurg Ct & Illinois St,"1,027",22808
6,,,Michigan Ave & Oak St,Michigan Ave & Pearson St,Michigan Ave & Oak St,Customer,1077,7/4/2013 13:33,34,7/4/2013 13:27,42,Michigan Ave & Pearson St,380,22935
6,,,Lake Shore Dr & Monroe St,Michigan Ave & Oak St,Lake Shore Dr & Monroe St,Customer,3603,7/4/2013 14:22,42,7/4/2013 13:58,300,Michigan Ave & Oak St,"1,417",23150
6,,,Wabash Ave & Cermak Rd,Lake Shore Dr & Monroe St,Wabash Ave & Cermak Rd,Customer,4267,7/4/2013 15:08,300,7/4/2013 14:24,170,Lake Shore Dr & Monroe St,"2,621",23320
6,,,Morgan St & 18th St,Wabash Ave & Cermak Rd,Morgan St & 18th St,Customer,2681,7/4/2013 15:25,170,7/4/2013 15:10,163,Wabash Ave & Cermak Rd,914,23617
6,,,Racine Ave & 18th St,Morgan St & 18th St,Racine Ave & 18th St,Customer,468,7/4/2013 16:01,163,7/4/2013 15:55,164,Morgan St & 18th St,383,23921
6,,,May St & Taylor St,Racine Ave & 18th St,May St & Taylor St,Customer,1357,7/4/2013 19:47,164,7/4/2013 19:41,160,Racine Ave & 18th St,376,25007
6,,,Halsted St & James M Rochford St,Halsted St & James M Rochford St,Halsted St & James M Rochford St,Customer,0,7/5/2013 17:55,166,7/5/2013 11:49,166,Halsted St & James M Rochford St,"21,960",26681
6,,,Halsted St & James M Rochford St,Halsted St & James M Rochford St,Halsted St & James M Rochford St,Customer,0,7/6/2013 5:55,166,7/6/2013 4:46,166,Halsted St & James M Rochford St,"4,136",30104
6,,,Halsted St & James M Rochford St,Halsted St & James M Rochford St,Halsted St & James M Rochford St,Customer,0,7/6/2013 14:09,166,7/6/2013 13:41,166,Halsted St & James M Rochford St,"1,674",31472
6,,,Michigan Ave & Congress Pkwy,Halsted St & James M Rochford St,Michigan Ave & Congress Pkwy,Customer,3504,7/6/2013 15:06,166,7/6/2013 14:41,40,Halsted St & James M Rochford St,"1,534",31843
6,,,Lake Shore Dr & Monroe St,Michigan Ave & Congress Pkwy,Lake Shore Dr & Monroe St,Customer,1733,7/6/2013 15:28,40,7/6/2013 15:12,300,Michigan Ave & Congress Pkwy,950,32060
6,,,Ashland Ave & Augusta Blvd,Morgan St & Lake St,Ashland Ave & Augusta Blvd,Customer,2861,7/6/2013 22:33,72,7/6/2013 22:12,248,Morgan St & Lake St,"1,248",33815
6,,,Damen Ave & Pierce Ave,Wood St & Milwaukee Ave,Damen Ave & Pierce Ave,Customer,843,7/7/2013 11:18,221,7/7/2013 9:49,65,Wood St & Milwaukee Ave,"5,391",34333
6,,,Kingsbury St & Erie St,Wells St & Erie St,Kingsbury St & Erie St,Customer,655,7/10/2013 12:27,64,7/10/2013 12:24,265,Wells St & Erie St,230,45008
6,,,May St & Taylor St,Morgan St & 18th St,May St & Taylor St,Customer,2371,7/13/2013 14:55,163,7/13/2013 14:48,160,Morgan St & 18th St,404,57407
6,,,Racine Ave & 18th St,May St & Taylor St,Racine Ave & 18th St,Customer,1699,7/13/2013 15:09,160,7/13/2013 15:00,164,May St & Taylor St,506,57474
6,,,Dayton St & North Ave,Dayton St & North Ave,Dayton St & North Ave,Customer,0,7/13/2013 21:34,58,7/13/2013 20:21,58,Dayton St & North Ave,"4,383",59147
6,,,Millennium Park,Dayton St & North Ave,Millennium Park,Customer,4973,7/14/2013 12:03,58,7/14/2013 10:36,8,Dayton St & North Ave,"5,195",60260
6,,,Wabash Ave & Cermak Rd,Wabash Ave & Cermak Rd,Wabash Ave & Cermak Rd,Customer,0,7/14/2013 17:17,170,7/14/2013 15:15,170,Wabash Ave & Cermak Rd,"7,338",61845
6,,,Wells St & Erie St,Wabash Ave & Cermak Rd,Wells St & Erie St,Customer,5440,7/14/2013 18:00,170,7/14/2013 17:35,64,Wabash Ave & Cermak Rd,"1,535",62791
6,,,Wells St & Erie St,Wells St & Erie St,Wells St & Erie St,Customer,0,7/14/2013 21:39,64,7/14/2013 19:14,64,Wells St & Erie St,"8,739",63297
6,,,Clinton St & Madison St,Wells St & Erie St,Clinton St & Madison St,Customer,1973,7/14/2013 22:38,64,7/14/2013 22:09,301,Wells St & Erie St,"1,707",63951
6,,,Clark St & Congress Pkwy,State St & 16th St,Clark St & Congress Pkwy,Customer,2529,7/15/2013 18:22,148,7/15/2013 18:13,9,State St & 16th St,544,66808
6,,,Michigan Ave & Lake St,Clinton St & Lake St,Michigan Ave & Lake St,Customer,1442,7/18/2013 18:25,21,7/18/2013 14:02,43,Clinton St & Lake St,"15,787",75634
6,,,Michigan Ave & Lake St,Michigan Ave & Lake St,Michigan Ave & Lake St,Customer,0,7/18/2013 19:50,43,7/18/2013 19:30,43,Michigan Ave & Lake St,"1,249",76991
6,,,Clark St & Congress Pkwy,Michigan Ave & Lake St,Clark St & Congress Pkwy,Customer,1834,7/18/2013 20:32,43,7/18/2013 19:59,9,Michigan Ave & Lake St,"1,973",77081
6,,,Millennium Park,State St & Van Buren St,Millennium Park,Customer,706,7/20/2013 15:13,3,7/20/2013 14:48,8,State St & Van Buren St,"1,504",83185
6,,,Michigan Ave & Pearson St,Millennium Park,Michigan Ave & Pearson St,Customer,1889,7/20/2013 17:03,8,7/20/2013 15:41,34,Millennium Park,"4,908",83576
6,,,Franklin St & Jackson Blvd,Clark St & Congress Pkwy,Franklin St & Jackson Blvd,Customer,572,7/21/2013 11:44,9,7/21/2013 11:40,19,Clark St & Congress Pkwy,242,87035
6,,,State St & Harrison St,Franklin St & Jackson Blvd,State St & Harrison St,Customer,1139,7/21/2013 12:48,19,7/21/2013 12:37,30,Franklin St & Jackson Blvd,679,87346
6,,,Lake Shore Dr & Monroe St,State St & Harrison St,Lake Shore Dr & Monroe St,Customer,1804,7/21/2013 14:19,30,7/21/2013 13:25,300,State St & Harrison St,"3,213",87681
6,,,LaSalle St & Washington St,Lake Shore Dr & Monroe St,LaSalle St & Washington St,Customer,1980,7/21/2013 14:33,300,7/21/2013 14:22,6,Lake Shore Dr & Monroe St,637,88134
6,,,Noble St & Milwaukee Ave,LaSalle St & Washington St,Noble St & Milwaukee Ave,Customer,3892,7/21/2013 16:23,6,7/21/2013 16:06,290,LaSalle St & Washington St,"1,057",88922
6,,,Ogden Ave & Chicago Ave,Noble St & Milwaukee Ave,Ogden Ave & Chicago Ave,Customer,905,7/22/2013 20:49,290,7/22/2013 20:42,44,Noble St & Milwaukee Ave,426,94595
6,,,Wells St & Erie St,Ogden Ave & Chicago Ave,Wells St & Erie St,Customer,1947,7/22/2013 21:09,44,7/22/2013 20:53,64,Ogden Ave & Chicago Ave,980,94636
6,,,Clark St & Congress Pkwy,State St & Harrison St,Clark St & Congress Pkwy,Customer,1053,7/23/2013 18:45,30,7/23/2013 18:36,9,State St & Harrison St,568,98328
6,,,Indiana Ave & Roosevelt Rd,Michigan Ave & Pearson St,Indiana Ave & Roosevelt Rd,Customer,5224,7/24/2013 14:50,34,7/24/2013 14:32,309,Michigan Ave & Pearson St,"1,073",101368
6,,,Halsted St & 35th St,Indiana Ave & Roosevelt Rd,Halsted St & 35th St,Customer,5451,7/24/2013 16:29,309,7/24/2013 16:00,413,Indiana Ave & Roosevelt Rd,"1,722",101861
6,,,Michigan Ave & Oak St,Halsted St & 35th St,Michigan Ave & Oak St,Customer,11435,7/24/2013 17:22,413,7/24/2013 16:35,42,Halsted St & 35th St,"2,794",102094
6,,,Dearborn St & Adams St,Michigan Ave & Oak St,Dearborn St & Adams St,Customer,2920,7/24/2013 18:11,42,7/24/2013 17:41,20,Michigan Ave & Oak St,"1,836",102523
6,,,Wells St & Walton St,Dearborn St & Adams St,Wells St & Walton St,Customer,2692,7/24/2013 18:46,20,7/24/2013 18:31,46,Dearborn St & Adams St,870,102792
6,,,Museum Campus,Wells St & Walton St,Museum Campus,Customer,6287,7/25/2013 18:03,46,7/25/2013 16:43,29,Wells St & Walton St,"4,808",106696
6,,,Millennium Park,Museum Campus,Millennium Park,Customer,2764,7/26/2013 11:48,29,7/26/2013 11:33,8,Museum Campus,871,109561
6,,,Wood St & Milwaukee Ave,Green St & Milwaukee Ave,Wood St & Milwaukee Ave,Customer,2668,7/28/2013 14:43,33,7/28/2013 14:27,221,Green St & Milwaukee Ave,908,119048
