bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
2578,,,Michigan Ave & Madison St,Michigan Ave & Jackson Blvd,Michigan Ave & Madison St,Customer,547,10/15/2013 15:53,340,10/15/2013 15:46,36,Michigan Ave & Jackson Blvd,393,792417
2578,,,Southport Ave & Wellington Ave,California Ave & Francis Pl,Southport Ave & Wellington Ave,Customer,4931,10/19/2013 14:31,259,10/19/2013 14:05,228,California Ave & Francis Pl,"1,553",820840
2578,,,Lincoln Ave & Diversey Pkwy,Racine Ave & Belmont Ave,Lincoln Ave & Diversey Pkwy,Customer,842,10/20/2013 15:40,230,10/20/2013 15:36,226,Racine Ave & Belmont Ave,242,828189
2578,,,Clark St & North Ave,Franklin St & Lake St,Clark St & North Ave,Customer,3412,10/25/2013 21:20,272,10/25/2013 20:57,128,Franklin St & Lake St,"1,372",863407
2578,,,LaSalle St & Illinois St,Wabash Ave & Grand Ave,LaSalle St & Illinois St,Customer,618,10/26/2013 11:39,4,10/26/2013 10:39,430,Wabash Ave & Grand Ave,"3,611",864752
2578,,,Millennium Park,LaSalle St & Illinois St,Millennium Park,Customer,1784,10/26/2013 14:47,430,10/26/2013 14:28,8,LaSalle St & Illinois St,"1,162",866707
2578,,,Adler Planetarium,Millennium Park,Adler Planetarium,Customer,3001,10/26/2013 15:32,8,10/26/2013 15:11,431,Millennium Park,"1,300",867140
2578,,,Streeter Dr & Illinois St,Adler Planetarium,Streeter Dr & Illinois St,Customer,3867,10/26/2013 16:00,431,10/26/2013 15:33,22,Adler Planetarium,"1,618",867333
2578,,,Millennium Park,Streeter Dr & Illinois St,Millennium Park,Customer,2939,10/26/2013 17:33,22,10/26/2013 17:08,8,Streeter Dr & Illinois St,"1,505",868088
2578,,,Jefferson St & Monroe St,Millennium Park,Jefferson St & Monroe St,Customer,2041,10/26/2013 18:02,8,10/26/2013 17:44,38,Millennium Park,"1,057",868336
2578,,,Wabash Ave & 8th St,Jefferson St & Monroe St,Wabash Ave & 8th St,Customer,2350,10/26/2013 19:04,38,10/26/2013 18:42,54,Jefferson St & Monroe St,"1,335",868659
2578,,,Millennium Park,Lake Park Ave & 56th St,Millennium Park,Customer,12337,11/9/2013 6:06,119,11/9/2013 5:08,8,Lake Park Ave & 56th St,"3,532",946897
2578,,,Streeter Dr & Illinois St,Millennium Park,Streeter Dr & Illinois St,Customer,2194,11/9/2013 12:55,8,11/9/2013 12:42,22,Millennium Park,748,948940
2578,,,Theater on the Lake,Streeter Dr & Illinois St,Theater on the Lake,Customer,4714,11/9/2013 13:32,22,11/9/2013 12:58,350,Streeter Dr & Illinois St,"2,016",949100
2578,,,Lake Shore Dr & Monroe St,Lake Shore Dr & North Blvd,Lake Shore Dr & Monroe St,Customer,4489,11/10/2013 14:54,328,11/10/2013 14:34,300,Lake Shore Dr & North Blvd,"1,225",956699
2578,,,McClurg Ct & Illinois St,Lake Shore Dr & Monroe St,McClurg Ct & Illinois St,Customer,1857,11/10/2013 15:56,300,11/10/2013 15:32,51,Lake Shore Dr & Monroe St,"1,450",957249
2578,,,Franklin St & Jackson Blvd,State St & Randolph St,Franklin St & Jackson Blvd,Customer,1587,11/21/2013 10:55,2,11/21/2013 10:16,19,State St & Randolph St,"2,355",1008398
2578,,,Dearborn St & Monroe St,Clinton St & Madison St,Dearborn St & Monroe St,Customer,1162,11/22/2013 13:37,301,11/22/2013 13:31,49,Clinton St & Madison St,372,1013427
