bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,overage,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
474,,Kingsbury St & Erie St,41.884576228,-87.63188991,5,Clark St & Randolph St,,1612,0,Clark St & Randolph St,6/28/2013 12:52,6/28/2013 13:03,41.89384315,-87.64185116,265,Kingsbury St & Erie St,5876,622,Customer
474,,Wabash Ave & Roosevelt Rd,41.8815824,-87.64127743,301,Clinton St & Madison St,,2862,0,Clinton St & Madison St,6/29/2013 12:17,6/29/2013 12:36,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,8015,1166,Customer
474,,State St & Kinzie St,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,2874,0,Wabash Ave & Roosevelt Rd,6/29/2013 12:43,6/29/2013 13:03,41.88918,-87.6277,50,State St & Kinzie St,8058,1203,Customer
474,,Franklin St & Jackson Blvd,41.88918,-87.6277,50,State St & Kinzie St,,2111,0,State St & Kinzie St,6/29/2013 13:23,6/29/2013 13:52,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,8169,1721,Customer
474,,McCormick Place,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,,4301,2.0,Franklin St & Jackson Blvd,6/29/2013 15:22,6/29/2013 15:54,41.8513751729,-87.6188346489,106,McCormick Place,8578,1927,Customer
474,,Lake Shore Dr & Monroe St,41.8513751729,-87.6188346489,106,McCormick Place,,3850,0,McCormick Place,6/29/2013 17:22,6/29/2013 17:44,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,8954,1284,Customer
474,,State St & Van Buren St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,1599,0,Lake Shore Dr & Monroe St,6/29/2013 17:45,6/29/2013 18:12,41.877181,-87.627844,3,State St & Van Buren St,9039,1635,Customer
474,,Michigan Ave & Washington St,41.877181,-87.627844,3,State St & Van Buren St,,1178,0,State St & Van Buren St,6/29/2013 18:30,6/29/2013 18:38,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,9173,525,Customer
474,,Clinton St & Washington Blvd,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,,1568,0,Michigan Ave & Washington St,6/29/2013 19:26,6/29/2013 19:41,41.88338,-87.64117,10,Clinton St & Washington Blvd,9314,864,Customer
474,,McClurg Ct & Illinois St,41.88338,-87.64117,10,Clinton St & Washington Blvd,,2859,0,Clinton St & Washington Blvd,6/30/2013 11:51,6/30/2013 12:08,41.89102,-87.6173,51,McClurg Ct & Illinois St,10175,1050,Customer
474,,Lake Shore Dr & Monroe St,41.89102,-87.6173,51,McClurg Ct & Illinois St,,1620,0,McClurg Ct & Illinois St,6/30/2013 12:14,6/30/2013 12:40,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,10253,1543,Customer
474,,Lincoln Ave & Armitage Ave,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,5933,2.0,Lake Shore Dr & Monroe St,6/30/2013 12:43,6/30/2013 13:15,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,10385,1906,Customer
474,,Dayton St & North Ave,41.897764,-87.642884,12,Larrabee St & Kingsbury St,,1689,0,Larrabee St & Kingsbury St,7/3/2013 15:03,7/3/2013 15:13,41.9105780349,-87.6494219288,58,Dayton St & North Ave,20966,616,Customer
474,,Broadway & Barry Ave,41.9105780349,-87.6494219288,58,Dayton St & North Ave,,4049,0,Dayton St & North Ave,7/4/2013 15:05,7/4/2013 15:20,41.937739,-87.644094,137,Broadway & Barry Ave,23584,931,Customer
474,,Eckhart Park,41.937739,-87.644094,137,Broadway & Barry Ave,,7034,0,Broadway & Barry Ave,7/4/2013 16:42,7/4/2013 16:53,41.89637337,-87.66098386,289,Eckhart Park,24186,697,Customer
474,,Jefferson St & Monroe St,41.89637337,-87.66098386,289,Eckhart Park,,2758,0,Eckhart Park,7/4/2013 16:57,7/4/2013 17:16,41.880422,-87.642746,38,Jefferson St & Monroe St,24274,1144,Customer
474,,Racine Ave & Fullerton Ave,41.880422,-87.642746,38,Jefferson St & Monroe St,,5623,0,Jefferson St & Monroe St,7/4/2013 18:23,7/4/2013 18:49,41.92556258,-87.65840426,189,Racine Ave & Fullerton Ave,24724,1525,Customer
474,1991,Cannon Dr & Fullerton Ave,41.92556258,-87.65840426,189,Racine Ave & Fullerton Ave,Male,3058,0,Racine Ave & Fullerton Ave,7/4/2013 20:44,7/4/2013 20:57,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,25285,791,Subscriber
474,,Museum Campus,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,1795,0,Wabash Ave & Roosevelt Rd,7/5/2013 20:45,7/5/2013 21:04,41.865212,-87.617759,29,Museum Campus,29518,1139,Customer
474,,Millennium Park,41.865212,-87.617759,29,Museum Campus,,2764,0,Museum Campus,7/6/2013 12:02,7/6/2013 12:25,41.8810317,-87.62408432,8,Millennium Park,30945,1370,Customer
474,,Museum Campus,41.8810317,-87.62408432,8,Millennium Park,,2745,0,Millennium Park,7/6/2013 12:39,7/6/2013 12:57,41.865212,-87.617759,29,Museum Campus,31123,1036,Customer
474,,McClurg Ct & Illinois St,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,4311,2.0,Wabash Ave & Roosevelt Rd,7/6/2013 13:36,7/6/2013 14:14,41.89102,-87.6173,51,McClurg Ct & Illinois St,31435,2272,Customer
474,,Millennium Park,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,,1932,0,Fairbanks Ct & Grand Ave,7/6/2013 15:49,7/6/2013 16:06,41.8810317,-87.62408432,8,Millennium Park,32312,1020,Customer
474,,Lake Shore Dr & Monroe St,41.8810317,-87.62408432,8,Millennium Park,,1112,0,Millennium Park,7/6/2013 16:19,7/6/2013 16:35,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,32517,985,Customer
474,,Ogden Ave & Chicago Ave,41.8847302006,-87.6277335692,2,State St & Randolph St,,3050,0,State St & Randolph St,7/6/2013 19:19,7/6/2013 19:35,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,33287,976,Customer
474,,Kingsbury St & Erie St,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,,1354,0,Ogden Ave & Chicago Ave,7/7/2013 21:12,7/7/2013 21:19,41.89384315,-87.64185116,265,Kingsbury St & Erie St,36982,443,Customer
474,1979,Martin Luther King Dr & Oakwood Blvd,41.89384315,-87.64185116,265,Kingsbury St & Erie St,Male,11852,0,Kingsbury St & Erie St,7/8/2013 8:44,7/8/2013 8:53,41.82256,-87.61615,420,Martin Luther King Dr & Oakwood Blvd,37442,545,Subscriber
474,1952,Clark St & Congress Pkwy,41.82256,-87.61615,420,Martin Luther King Dr & Oakwood Blvd,Male,7155,0,Martin Luther King Dr & Oakwood Blvd,7/8/2013 15:05,7/8/2013 15:17,41.8759326655,-87.6305845355,9,Clark St & Congress Pkwy,38208,701,Subscriber
474,,State St & 16th St,41.8759326655,-87.6305845355,9,Clark St & Congress Pkwy,,2050,0,Clark St & Congress Pkwy,7/8/2013 18:30,7/8/2013 18:46,41.8601213774,-87.6277291853,148,State St & 16th St,38929,1002,Customer
474,,Noble St & Milwaukee Ave,41.865212,-87.617759,29,Museum Campus,,8101,2.0,Museum Campus,7/9/2013 21:48,7/9/2013 22:26,41.90068,-87.6626,290,Noble St & Milwaukee Ave,43180,2300,Customer
474,,Dayton St & North Ave,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,,3421,0,Damen Ave & Pierce Ave,7/10/2013 14:32,7/10/2013 14:53,41.9105780349,-87.6494219288,58,Dayton St & North Ave,45658,1278,Customer
474,,May St & Taylor St,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,8839,2.0,Michigan Ave & Oak St,7/10/2013 19:06,7/10/2013 19:46,41.8694821,-87.6554864,160,May St & Taylor St,46740,2447,Customer
474,,Clinton St & Roosevelt Rd,41.8694821,-87.6554864,160,May St & Taylor St,,1454,0,May St & Taylor St,7/11/2013 18:44,7/11/2013 19:07,41.8671177825,-87.6410879593,327,Clinton St & Roosevelt Rd,50241,1368,Customer
474,,Halsted St & James M Rochford St,41.858086,-87.651073,163,Morgan St & 18th St,,1292,0,Morgan St & 18th St,7/13/2013 14:51,7/13/2013 15:09,41.865861,-87.646611,166,Halsted St & James M Rochford St,57423,1075,Customer
474,,Racine Ave & 18th St,41.865861,-87.646611,166,Halsted St & James M Rochford St,,1723,0,Halsted St & James M Rochford St,7/13/2013 15:10,7/13/2013 15:35,41.8581806068,-87.6564866473,164,Racine Ave & 18th St,57544,1501,Customer
474,,Morgan St & 18th St,41.8581806068,-87.6564866473,164,Racine Ave & 18th St,,468,0,Racine Ave & 18th St,7/13/2013 15:39,7/13/2013 15:51,41.858086,-87.651073,163,Morgan St & 18th St,57710,751,Customer
474,1978,Racine Ave & 18th St,41.858086,-87.651073,163,Morgan St & 18th St,Male,468,0,Morgan St & 18th St,7/13/2013 16:18,7/13/2013 16:32,41.8581806068,-87.6564866473,164,Racine Ave & 18th St,57976,823,Subscriber
474,1987,State St & Van Buren St,41.8581806068,-87.6564866473,164,Racine Ave & 18th St,Male,4698,0,Racine Ave & 18th St,7/13/2013 17:20,7/13/2013 17:42,41.877181,-87.627844,3,State St & Van Buren St,58345,1307,Subscriber
