bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
943,,Sheffield Ave & Fullerton Ave,41.93588,-87.67842,268,Damen Ave & Wellington Ave,,2739,Damen Ave & Wellington Ave,7/28/2013 14:54,7/28/2013 15:12,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,119208,"1,107",Customer
943,,Sheffield Ave & Wellington Ave,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,1221,Sheffield Ave & Fullerton Ave,7/28/2013 15:15,7/28/2013 15:25,41.936253,-87.653566,67,Sheffield Ave & Wellington Ave,119423,590,Customer
943,,Wood St & Division St,41.936253,-87.653566,67,Sheffield Ave & Wellington Ave,,5335,Sheffield Ave & Wellington Ave,7/28/2013 16:13,7/28/2013 16:32,41.90332,-87.67273,246,Wood St & Division St,119813,"1,147",Customer
943,,Ogden Ave & Chicago Ave,41.90332,-87.67273,246,Wood St & Division St,,1840,Wood St & Division St,7/28/2013 17:42,7/28/2013 17:55,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,120526,820,Customer
943,,Michigan Ave & Lake St,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,,3259,Ogden Ave & Chicago Ave,7/28/2013 19:18,7/28/2013 19:52,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,121077,"2,029",Customer
943,,Michigan Ave & Lake St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,0,Michigan Ave & Lake St,7/28/2013 21:17,7/28/2013 23:04,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,121613,"6,426",Customer
943,1970,Michigan Ave & Oak St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,Male,1679,Michigan Ave & Lake St,7/29/2013 13:18,7/29/2013 13:32,41.90096039,-87.62377664,42,Michigan Ave & Oak St,123929,808,Subscriber
943,,Eckhart Park,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,3944,Michigan Ave & Oak St,7/29/2013 13:37,7/29/2013 13:53,41.89637337,-87.66098386,289,Eckhart Park,124010,968,Customer
943,1979,Wells St & Walton St,41.89637337,-87.66098386,289,Eckhart Park,Female,3740,Eckhart Park,7/29/2013 20:11,7/29/2013 20:22,41.89993001,-87.63443007,46,Wells St & Walton St,126544,663,Subscriber
943,1967,Dearborn St & Monroe St,41.89993001,-87.63443007,46,Wells St & Walton St,Female,2444,Wells St & Walton St,7/30/2013 7:34,7/30/2013 7:52,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,127369,"1,060",Subscriber
943,,Millennium Park,41.8810317,-87.62408432,8,Millennium Park,,0,Millennium Park,7/30/2013 12:45,7/30/2013 12:47,41.8810317,-87.62408432,8,Millennium Park,128608,100,Customer
943,1968,Michigan Ave & Lake St,41.8810317,-87.62408432,8,Millennium Park,Male,559,Millennium Park,7/30/2013 13:49,7/30/2013 13:52,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,128814,171,Subscriber
943,1974,Canal St & Madison St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,Male,1906,Michigan Ave & Lake St,7/30/2013 15:57,7/30/2013 16:06,41.882091,-87.639833,341,Canal St & Madison St,129218,526,Subscriber
943,1964,Wells St & Walton St,41.882091,-87.639833,341,Canal St & Madison St,Male,2469,Canal St & Madison St,7/30/2013 18:06,7/30/2013 18:18,41.89993001,-87.63443007,46,Wells St & Walton St,129898,745,Subscriber
943,,Dayton St & North Ave,41.89993001,-87.63443007,46,Wells St & Walton St,,2010,Wells St & Walton St,7/30/2013 19:03,7/30/2013 19:14,41.9105780349,-87.6494219288,58,Dayton St & North Ave,130181,670,Customer
943,1985,Desplaines St & Kinzie St,41.9105780349,-87.6494219288,58,Dayton St & North Ave,Male,2809,Dayton St & North Ave,7/30/2013 21:34,7/30/2013 21:44,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,130651,615,Subscriber
943,1974,LaSalle St & Washington St,41.888716036,-87.6444478533,39,Desplaines St & Kinzie St,Male,1732,Desplaines St & Kinzie St,7/31/2013 4:11,7/31/2013 4:16,41.882664,-87.63253,6,LaSalle St & Washington St,130891,308,Subscriber
943,1973,Daley Center Plaza,41.88338,-87.64117,10,Clinton St & Washington Blvd,Male,1196,Clinton St & Washington Blvd,7/31/2013 7:21,7/31/2013 7:25,41.884337,-87.630183,23,Daley Center Plaza,131093,273,Subscriber
943,1956,State St & Harrison St,41.884337,-87.630183,23,Daley Center Plaza,Male,1493,Daley Center Plaza,7/31/2013 7:29,7/31/2013 7:42,41.8739580629,-87.6277394859,30,State St & Harrison St,131115,771,Subscriber
943,1985,State St & 19th St,41.8739580629,-87.6277394859,30,State St & Harrison St,Male,2424,State St & Harrison St,7/31/2013 7:51,7/31/2013 7:59,41.856594,-87.627542,408,State St & 19th St,131186,492,Subscriber
943,1981,Ellis Ave & 58th St,41.856594,-87.627542,408,State St & 19th St,Male,13006,State St & 19th St,7/31/2013 15:05,7/31/2013 15:19,41.788746,-87.601334,365,Ellis Ave & 58th St,132703,829,Subscriber
943,1982,Sheffield Ave & Willow St,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,Male,4754,Franklin St & Jackson Blvd,7/31/2013 17:02,7/31/2013 17:22,41.913688,-87.652855,190,Sheffield Ave & Willow St,133279,"1,199",Subscriber
943,1982,Damen Ave & Wellington Ave,41.913688,-87.652855,190,Sheffield Ave & Willow St,Male,3376,Sheffield Ave & Willow St,7/31/2013 17:23,7/31/2013 17:35,41.93588,-87.67842,268,Damen Ave & Wellington Ave,133431,727,Subscriber
943,,Sheffield Ave & Fullerton Ave,41.93588,-87.67842,268,Damen Ave & Wellington Ave,,2739,Damen Ave & Wellington Ave,8/1/2013 12:02,8/1/2013 13:54,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,136241,"6,708",Customer
943,,Wilton Ave & Diversey Pkwy,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,867,Sheffield Ave & Fullerton Ave,8/1/2013 19:14,8/1/2013 19:29,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,139170,894,Customer
943,1965,Southport Ave & Wellington Ave,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,Male,1662,Wilton Ave & Diversey Pkwy,8/2/2013 17:00,8/2/2013 17:07,41.93584,-87.6637,228,Southport Ave & Wellington Ave,143338,439,Subscriber
943,,Cannon Dr & Fullerton Ave,41.89257,-87.614492,337,Lake Shore Dr & Ohio St,,5417,Lake Shore Dr & Ohio St,8/3/2013 12:32,8/3/2013 13:01,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,147364,"1,706",Customer
943,,Sheffield Ave & Fullerton Ave,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,,2660,Cannon Dr & Fullerton Ave,8/3/2013 13:28,8/3/2013 13:49,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,147961,"1,269",Customer
943,,Southport Ave & Belmont Ave,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,1894,Sheffield Ave & Fullerton Ave,8/3/2013 14:02,8/3/2013 14:14,41.93949,-87.66378,229,Southport Ave & Belmont Ave,148376,742,Customer
943,,Sheffield Ave & Addison St,41.93949,-87.66378,229,Southport Ave & Belmont Ave,,1681,Southport Ave & Belmont Ave,8/3/2013 14:23,8/3/2013 14:35,41.94688,-87.65445,62,Sheffield Ave & Addison St,148626,678,Customer
943,,Cannon Dr & Fullerton Ave,41.94688,-87.65445,62,Sheffield Ave & Addison St,,4004,Sheffield Ave & Addison St,8/3/2013 18:02,8/3/2013 18:42,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,151034,"2,406",Customer
943,,State St & Pearson St,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,,3720,Cannon Dr & Fullerton Ave,8/3/2013 18:43,8/3/2013 19:29,41.897448,-87.628722,14,State St & Pearson St,151451,"2,730",Customer
943,,State St & Harrison St,41.897448,-87.628722,14,State St & Pearson St,,2928,State St & Pearson St,8/3/2013 20:29,8/3/2013 21:07,41.8739580629,-87.6277394859,30,State St & Harrison St,152370,"2,296",Customer
