bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
152,,,Dayton St & North Ave,Larrabee St & Kingsbury St,Dayton St & North Ave,Customer,1689,6/28/2013 16:05,12,6/28/2013 15:53,58,Larrabee St & Kingsbury St,680,6489
152,,,Cannon Dr & Fullerton Ave,Sheffield Ave & Fullerton Ave,Cannon Dr & Fullerton Ave,Customer,2660,6/30/2013 12:39,60,6/30/2013 9:43,124,Sheffield Ave & Fullerton Ave,"10,569",9837
152,,,Halsted St & 35th St,Cannon Dr & Fullerton Ave,Halsted St & 35th St,Customer,14441,6/30/2013 13:05,124,6/30/2013 12:42,413,Cannon Dr & Fullerton Ave,"1,387",10375
152,,,Franklin St & Jackson Blvd,Lincoln Ave & Fullerton Ave,Franklin St & Jackson Blvd,Customer,6775,6/30/2013 14:36,131,6/30/2013 14:02,19,Lincoln Ave & Fullerton Ave,"2,028",10735
152,,,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,Customer,0,6/30/2013 17:32,19,6/30/2013 17:14,19,Franklin St & Jackson Blvd,"1,060",11643
152,,,Wabash Ave & Roosevelt Rd,Museum Campus,Wabash Ave & Roosevelt Rd,Customer,1748,7/2/2013 16:49,29,7/2/2013 16:24,31,Museum Campus,"1,491",18560
152,,,Museum Campus,Wabash Ave & Roosevelt Rd,Museum Campus,Customer,1795,7/2/2013 17:55,31,7/2/2013 17:25,29,Wabash Ave & Roosevelt Rd,"1,830",18779
152,,,Clinton St & Madison St,Halsted St & James M Rochford St,Clinton St & Madison St,Customer,2273,7/4/2013 15:28,166,7/4/2013 15:17,301,Halsted St & James M Rochford St,627,23689
152,,,Aberdeen St & Madison St,Clinton St & Madison St,Aberdeen St & Madison St,Customer,1644,7/4/2013 16:45,301,7/4/2013 15:49,156,Clinton St & Madison St,"3,338",23875
152,,,Noble St & Milwaukee Ave,Aberdeen St & Madison St,Noble St & Milwaukee Ave,Customer,3254,7/5/2013 0:15,156,7/4/2013 20:37,290,Aberdeen St & Madison St,"13,047",25249
