bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
229,,Ashland Ave & Augusta Blvd,41.907655,-87.672552,221,Wood St & Milwaukee Ave,,1388,Wood St & Milwaukee Ave,6/27/2013 23:09,6/27/2013 23:26,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,4955,980,Customer
229,,Lake Shore Dr & Monroe St,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,,6431,Ashland Ave & Augusta Blvd,6/28/2013 9:51,6/28/2013 11:08,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,5380,"4,588",Customer
229,,Fairbanks Ct & Grand Ave,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,1982,Lake Shore Dr & Monroe St,6/28/2013 13:15,6/28/2013 14:01,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,5961,"2,727",Customer
229,,Jefferson St & Monroe St,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,,3304,Fairbanks Ct & Grand Ave,6/28/2013 21:58,6/28/2013 22:14,41.880422,-87.642746,38,Jefferson St & Monroe St,7473,962,Customer
229,1982,Orleans St & Elm St,41.902924,-87.637715,172,Orleans St & Elm St,Male,0,Orleans St & Elm St,6/29/2013 17:59,6/29/2013 18:02,41.902924,-87.637715,172,Orleans St & Elm St,9079,159,Subscriber
229,1986,Michigan Ave & Oak St,41.89680204,-87.63563839,17,Franklin St & Chicago Ave,Male,1431,Franklin St & Chicago Ave,6/30/2013 13:46,6/30/2013 13:53,41.90096039,-87.62377664,42,Michigan Ave & Oak St,10661,427,Subscriber
229,,Wells St & Erie St,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,1644,Michigan Ave & Oak St,6/30/2013 16:12,6/30/2013 16:44,41.893832,-87.634195,64,Wells St & Erie St,11387,"1,920",Customer
229,,Michigan Ave & Pearson St,41.89993001,-87.63443007,46,Wells St & Walton St,,1354,Wells St & Walton St,7/2/2013 15:01,7/2/2013 15:10,41.89766,-87.62351,34,Michigan Ave & Pearson St,18204,518,Customer
229,,Lincoln Ave & Fullerton Ave,41.89766,-87.62351,34,Michigan Ave & Pearson St,,5068,Michigan Ave & Pearson St,7/2/2013 15:31,7/2/2013 15:54,41.925905,-87.64926,131,Lincoln Ave & Fullerton Ave,18358,"1,337",Customer
229,,State St & Randolph St,41.8847302006,-87.6277335692,2,State St & Randolph St,,0,State St & Randolph St,7/4/2013 11:11,7/4/2013 11:21,41.8847302006,-87.6277335692,2,State St & Randolph St,22217,587,Customer
229,,Michigan Ave & Oak St,41.8847302006,-87.6277335692,2,State St & Randolph St,,2162,State St & Randolph St,7/4/2013 13:21,7/4/2013 13:54,41.90096039,-87.62377664,42,Michigan Ave & Oak St,22900,"1,983",Customer
229,,Cannon Dr & Fullerton Ave,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,3392,Michigan Ave & Oak St,7/4/2013 14:28,7/4/2013 14:55,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,23344,"1,603",Customer
229,,Michigan Ave & Oak St,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,,3423,Cannon Dr & Fullerton Ave,7/4/2013 15:22,7/4/2013 15:48,41.90096039,-87.62377664,42,Michigan Ave & Oak St,23716,"1,598",Customer
229,,State St & Harrison St,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,5491,Michigan Ave & Oak St,7/4/2013 15:49,7/4/2013 16:28,41.8739580629,-87.6277394859,30,State St & Harrison St,23867,"2,378",Customer
229,,Michigan Ave & Pearson St,41.8739580629,-87.6277394859,30,State St & Harrison St,,3641,State St & Harrison St,7/4/2013 16:50,7/4/2013 17:19,41.89766,-87.62351,34,Michigan Ave & Pearson St,24227,"1,771",Customer
229,,Michigan Ave & Lake St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,1637,Michigan Ave & Pearson St,7/4/2013 18:27,7/4/2013 19:08,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,24740,"2,492",Customer
229,,Michigan Ave & Lake St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,0,Michigan Ave & Lake St,7/4/2013 19:47,7/4/2013 19:52,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,25038,316,Customer
229,,Michigan Ave & Pearson St,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,1329,Michigan Ave & Lake St,7/4/2013 21:05,7/4/2013 22:10,41.89766,-87.62351,34,Michigan Ave & Pearson St,25361,"3,920",Customer
229,,Franklin St & Jackson Blvd,41.89766,-87.62351,34,Michigan Ave & Pearson St,,3625,Michigan Ave & Pearson St,7/5/2013 8:57,7/5/2013 9:22,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,26093,"1,511",Customer
229,,Millennium Park,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,,1262,Franklin St & Jackson Blvd,7/5/2013 11:58,7/5/2013 12:10,41.8810317,-87.62408432,8,Millennium Park,26748,738,Customer
229,,Millennium Park,41.8810317,-87.62408432,8,Millennium Park,,0,Millennium Park,7/5/2013 14:01,7/5/2013 15:01,41.8810317,-87.62408432,8,Millennium Park,27606,"3,603",Customer
229,,Millennium Park,41.8810317,-87.62408432,8,Millennium Park,,0,Millennium Park,7/5/2013 15:03,7/5/2013 15:26,41.8810317,-87.62408432,8,Millennium Park,27990,"1,414",Customer
229,,Michigan Ave & Pearson St,41.8810317,-87.62408432,8,Millennium Park,,1889,Millennium Park,7/5/2013 15:38,7/5/2013 16:31,41.89766,-87.62351,34,Michigan Ave & Pearson St,28220,"3,174",Customer
229,,Michigan Ave & Pearson St,41.8810317,-87.62408432,8,Millennium Park,,1889,Millennium Park,7/6/2013 9:14,7/6/2013 10:06,41.89766,-87.62351,34,Michigan Ave & Pearson St,30340,"3,111",Customer
229,,Michigan Ave & Pearson St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,0,Michigan Ave & Pearson St,7/6/2013 10:32,7/6/2013 11:56,41.89766,-87.62351,34,Michigan Ave & Pearson St,30531,"5,033",Customer
229,,Millennium Park,41.89766,-87.62351,34,Michigan Ave & Pearson St,,2251,Michigan Ave & Pearson St,7/6/2013 19:18,7/6/2013 20:18,41.8810317,-87.62408432,8,Millennium Park,33286,"3,586",Customer
229,,Millennium Park,41.8810317,-87.62408432,8,Millennium Park,,0,Millennium Park,7/6/2013 21:00,7/6/2013 21:37,41.8810317,-87.62408432,8,Millennium Park,33631,"2,215",Customer
229,,Museum Campus,41.8810317,-87.62408432,8,Millennium Park,,2745,Millennium Park,7/6/2013 21:38,7/6/2013 21:50,41.865212,-87.617759,29,Museum Campus,33761,717,Customer
229,,Clinton St & Lake St,41.8810317,-87.62408432,8,Millennium Park,,2091,Millennium Park,7/7/2013 13:17,7/7/2013 13:35,41.8858327415,-87.6413823149,21,Clinton St & Lake St,35116,"1,116",Customer
229,,Wabash Ave & Cermak Rd,41.8858327415,-87.6413823149,21,Clinton St & Lake St,,4883,Clinton St & Lake St,7/7/2013 14:55,7/7/2013 15:18,41.8532387578,-87.6253370902,170,Wabash Ave & Cermak Rd,35612,"1,335",Customer
