bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
1215,,,Sheffield Ave & Kingsbury St,Ashland Ave & Armitage Ave,Sheffield Ave & Kingsbury St,Customer,1958,8/7/2013 8:53,25,8/7/2013 8:44,154,Ashland Ave & Armitage Ave,539,173137
1215,,,Dearborn Pkwy & Delaware Pl,Sheffield Ave & Kingsbury St,Dearborn Pkwy & Delaware Pl,Customer,2997,8/9/2013 11:43,154,8/9/2013 11:28,173,Sheffield Ave & Kingsbury St,915,185929
1215,,,Canal St & Madison St,Orleans St & Merchandise Mart Plaza,Canal St & Madison St,Customer,1792,8/9/2013 13:18,13,8/9/2013 13:11,341,Orleans St & Merchandise Mart Plaza,440,186783
1215,,,Clark St & Elm St,Desplaines St & Kinzie St,Clark St & Elm St,Customer,2705,8/10/2013 9:54,39,8/10/2013 9:31,349,Desplaines St & Kinzie St,"1,348",192188
1215,,,Milwaukee Ave & Wabansia Ave,Clark St & Elm St,Milwaukee Ave & Wabansia Ave,Customer,4593,8/10/2013 11:18,349,8/10/2013 10:49,243,Clark St & Elm St,"1,721",192742
1215,,,Michigan Ave & Oak St,Milwaukee Ave & Wabansia Ave,Michigan Ave & Oak St,Customer,5542,8/10/2013 12:21,243,8/10/2013 11:40,42,Milwaukee Ave & Wabansia Ave,"2,432",193274
1215,,,McClurg Ct & Illinois St,Michigan Ave & Oak St,McClurg Ct & Illinois St,Customer,1704,8/10/2013 13:09,42,8/10/2013 12:51,51,Michigan Ave & Oak St,"1,031",194121
1215,,,Canal St & Adams St,Jefferson St & Monroe St,Canal St & Adams St,Customer,363,8/10/2013 16:01,38,8/10/2013 15:55,11,Jefferson St & Monroe St,358,196710
1215,,,Lake Shore Dr & Monroe St,Canal St & Adams St,Lake Shore Dr & Monroe St,Customer,2519,8/10/2013 16:37,11,8/10/2013 16:02,300,Canal St & Adams St,"2,069",196812
1215,,,McClurg Ct & Illinois St,Lake Shore Dr & Monroe St,McClurg Ct & Illinois St,Customer,1857,8/10/2013 16:54,300,8/10/2013 16:38,51,Lake Shore Dr & Monroe St,969,197307
1215,,,McClurg Ct & Illinois St,McClurg Ct & Illinois St,McClurg Ct & Illinois St,Customer,0,8/10/2013 17:09,51,8/10/2013 16:57,51,McClurg Ct & Illinois St,752,197544
1215,,,Clinton St & Lake St,McClurg Ct & Illinois St,Clinton St & Lake St,Customer,2693,8/10/2013 17:35,51,8/10/2013 17:10,21,McClurg Ct & Illinois St,"1,525",197717
1215,,,State St & Van Buren St,State St & Van Buren St,State St & Van Buren St,Customer,0,8/11/2013 18:19,3,8/11/2013 17:11,3,State St & Van Buren St,"4,053",206800
1215,,,State St & Kinzie St,Clark St & Elm St,State St & Kinzie St,Customer,1839,8/12/2013 4:15,349,8/12/2013 4:08,50,Clark St & Elm St,430,208579
