bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
2404,,,Wabash Ave & Grand Ave,State St & Wacker Dr,Wabash Ave & Grand Ave,Customer,942,9/23/2013 16:52,339,9/23/2013 16:41,4,State St & Wacker Dr,623,569526
2404,,,Columbus Dr & Randolph St,Wabash Ave & Grand Ave,Columbus Dr & Randolph St,Customer,1431,9/23/2013 17:36,4,9/23/2013 17:11,263,Wabash Ave & Grand Ave,"1,505",570001
2404,,,Columbus Dr & Randolph St,Columbus Dr & Randolph St,Columbus Dr & Randolph St,Customer,0,9/23/2013 17:41,263,9/23/2013 17:38,263,Columbus Dr & Randolph St,188,570516
2404,,,Streeter Dr & Illinois St,Columbus Dr & Randolph St,Streeter Dr & Illinois St,Customer,2117,9/23/2013 17:57,263,9/23/2013 17:44,22,Columbus Dr & Randolph St,755,570624
2404,,,Michigan Ave & Jackson Blvd,Streeter Dr & Illinois St,Michigan Ave & Jackson Blvd,Customer,3751,9/23/2013 21:12,22,9/23/2013 20:50,340,Streeter Dr & Illinois St,"1,363",572425
2404,,,Streeter Dr & Illinois St,Millennium Park,Streeter Dr & Illinois St,Customer,2194,9/23/2013 22:26,8,9/23/2013 22:09,22,Millennium Park,"1,052",572748
2404,,,Orleans St & Merchandise Mart Plaza,Streeter Dr & Illinois St,Orleans St & Merchandise Mart Plaza,Customer,2681,9/24/2013 5:30,22,9/24/2013 5:19,13,Streeter Dr & Illinois St,684,573090
2404,,,Theater on the Lake,Montrose Harbor,Theater on the Lake,Customer,5138,9/24/2013 17:04,388,9/24/2013 16:40,350,Montrose Harbor,"1,439",578128
2404,,,Lake Shore Dr & Ohio St,Theater on the Lake,Lake Shore Dr & Ohio St,Customer,4260,9/24/2013 17:28,350,9/24/2013 17:07,337,Theater on the Lake,"1,229",578582
2404,,,LaSalle St & Illinois St,Lake Shore Dr & Ohio St,LaSalle St & Illinois St,Customer,1718,9/24/2013 17:47,337,9/24/2013 17:30,430,Lake Shore Dr & Ohio St,994,579003
2404,,,Canal St & Jackson Blvd,LaSalle St & Illinois St,Canal St & Jackson Blvd,Customer,2432,9/24/2013 18:30,430,9/24/2013 18:04,138,LaSalle St & Illinois St,"1,582",579591
2404,,,Lake Shore Dr & Ohio St,Michigan Ave & Lake St,Lake Shore Dr & Ohio St,Customer,5551,9/26/2013 16:20,43,9/26/2013 16:08,337,Michigan Ave & Lake St,711,596524
2404,,,Stetson Ave & South Water St,Clark St & Randolph St,Stetson Ave & South Water St,Customer,2412,9/27/2013 18:08,5,9/27/2013 17:51,48,Clark St & Randolph St,"1,018",609234
2404,,,Mies van der Rohe Way & Chicago Ave,Stetson Ave & South Water St,Mies van der Rohe Way & Chicago Ave,Customer,2177,9/27/2013 18:42,48,9/27/2013 18:10,338,Stetson Ave & South Water St,"1,891",609567
2404,,,Michigan Ave & Oak St,Mies van der Rohe Way & Chicago Ave,Michigan Ave & Oak St,Customer,1016,9/27/2013 18:54,338,9/27/2013 18:44,42,Mies van der Rohe Way & Chicago Ave,623,610055
2404,,,Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,Lake Shore Dr & Belmont Ave,Customer,5195,9/27/2013 19:33,42,9/27/2013 18:55,233,Michigan Ave & Oak St,"2,274",610199
2404,,,Broadway & Sheridan Rd,Sheridan Rd & Irving Park Rd,Broadway & Sheridan Rd,Customer,558,9/28/2013 13:19,63,9/28/2013 13:09,323,Sheridan Rd & Irving Park Rd,584,616787
2404,,,Theater on the Lake,Broadway & Sheridan Rd,Theater on the Lake,Customer,4301,9/28/2013 15:29,323,9/28/2013 13:22,350,Broadway & Sheridan Rd,"7,584",617058
2404,,,Millennium Park,Dearborn Pkwy & Delaware Pl,Millennium Park,Customer,2548,9/29/2013 10:50,173,9/29/2013 10:27,8,Dearborn Pkwy & Delaware Pl,"1,391",627349
2404,,,Franklin St & Jackson Blvd,Millennium Park,Franklin St & Jackson Blvd,Customer,1702,9/29/2013 11:29,8,9/29/2013 11:11,19,Millennium Park,"1,072",627906
2404,,,Michigan Ave & Lake St,Franklin St & Jackson Blvd,Michigan Ave & Lake St,Customer,1822,9/29/2013 13:58,19,9/29/2013 13:38,43,Franklin St & Jackson Blvd,"1,189",630073
2404,,,Western Ave & Division St,Michigan Ave & Lake St,Western Ave & Division St,Customer,6603,9/29/2013 15:10,43,9/29/2013 14:29,241,Michigan Ave & Lake St,"2,503",630933
2404,,,Lakeview Ave & Fullerton Pkwy,May St & Taylor St,Lakeview Ave & Fullerton Pkwy,Customer,8269,9/30/2013 12:31,160,9/30/2013 12:09,147,May St & Taylor St,"1,324",639599
2404,,,Clark St & Randolph St,Morgan St & Polk St,Clark St & Randolph St,Customer,3351,9/30/2013 16:01,168,9/30/2013 15:45,5,Morgan St & Polk St,965,641425
2404,,,Calumet Ave & 18th St,Millennium Park,Calumet Ave & 18th St,Customer,3685,10/1/2013 18:05,8,10/1/2013 17:51,102,Millennium Park,834,653382
2404,,,Calumet Ave & 18th St,Calumet Ave & 18th St,Calumet Ave & 18th St,Customer,0,10/1/2013 18:46,102,10/1/2013 18:08,102,Calumet Ave & 18th St,"2,275",653693
2404,,,Museum Campus,Calumet Ave & 18th St,Museum Campus,Customer,1338,10/1/2013 20:08,102,10/1/2013 18:50,29,Calumet Ave & 18th St,"4,702",654298
2404,,,Milwaukee Ave & Rockwell St,900 W Harrison,Milwaukee Ave & Rockwell St,Customer,6863,10/2/2013 13:38,28,10/2/2013 13:01,242,900 W Harrison,"2,211",660298
2404,,,Indiana Ave & Roosevelt Rd,Daley Center Plaza,Indiana Ave & Roosevelt Rd,Customer,2750,10/3/2013 19:26,23,10/3/2013 19:14,309,Daley Center Plaza,703,672618
2404,,,Wentworth Ave & Archer Ave,McCormick Place,Wentworth Ave & Archer Ave,Customer,1393,10/4/2013 12:32,106,10/4/2013 12:27,75,McCormick Place,353,677267
2404,,,Michigan Ave & Washington St,Carpenter St & Huron St,Michigan Ave & Washington St,Customer,3301,10/5/2013 15:05,196,10/5/2013 13:25,1,Carpenter St & Huron St,"5,972",688360
2404,,,LaSalle St & Illinois St,Michigan Ave & Washington St,LaSalle St & Illinois St,Customer,1457,10/5/2013 16:36,1,10/5/2013 15:28,430,Michigan Ave & Washington St,"4,073",690408
2404,,,Wabash Ave & 8th St,LaSalle St & Illinois St,Wabash Ave & 8th St,Customer,2587,10/5/2013 18:02,430,10/5/2013 17:40,54,LaSalle St & Illinois St,"1,319",691192
2404,,,Franklin St & Jackson Blvd,Wabash Ave & 8th St,Franklin St & Jackson Blvd,Customer,1723,10/6/2013 11:06,54,10/6/2013 10:36,19,Wabash Ave & 8th St,"1,807",693574
2404,,,Orleans St & Merchandise Mart Plaza,Larrabee St & Kingsbury St,Orleans St & Merchandise Mart Plaza,Customer,1904,10/8/2013 13:21,12,10/8/2013 13:10,13,Larrabee St & Kingsbury St,658,713274
2404,,,Wood St & Division St,Milwaukee Ave & Wabansia Ave,Wood St & Division St,Customer,1596,10/9/2013 14:27,243,10/9/2013 14:16,246,Milwaukee Ave & Wabansia Ave,697,724575
2404,,,Ashland Ave & Division St,California Ave & Milwaukee Ave,Ashland Ave & Division St,Customer,3306,10/11/2013 0:47,84,10/11/2013 0:34,61,California Ave & Milwaukee Ave,817,741636
2404,,,Damen Ave & Pierce Ave,Ashland Ave & Division St,Damen Ave & Pierce Ave,Customer,1571,10/11/2013 12:39,61,10/11/2013 12:14,65,Ashland Ave & Division St,"1,512",745675
2404,,,McCormick Place,Millennium Park,McCormick Place,Customer,4494,10/14/2013 14:09,8,10/14/2013 13:47,106,Millennium Park,"1,298",782137
2404,,,Greenwood Ave & 47th St,McCormick Place,Greenwood Ave & 47th St,Customer,6160,10/14/2013 14:37,106,10/14/2013 14:23,396,McCormick Place,817,782646
2404,,,Peoria St & Jackson Blvd,Loomis St & Lexington St,Peoria St & Jackson Blvd,Customer,1761,10/15/2013 9:56,332,10/15/2013 9:54,158,Loomis St & Lexington St,119,790461
2404,,,LaSalle St & Illinois St,Morgan St & Lake St,LaSalle St & Illinois St,Customer,2245,10/20/2013 13:46,72,10/20/2013 13:28,430,Morgan St & Lake St,"1,051",826837
2404,,,Clark St & Elm St,LaSalle St & Illinois St,Clark St & Elm St,Customer,1676,10/20/2013 14:00,430,10/20/2013 13:48,349,LaSalle St & Illinois St,763,827049
2404,,,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,Customer,0,11/2/2013 17:02,19,11/2/2013 16:56,19,Franklin St & Jackson Blvd,314,908512
2404,,,Michigan Ave & Washington St,Michigan Ave & Washington St,Michigan Ave & Washington St,Customer,0,11/3/2013 10:48,1,11/3/2013 10:45,1,Michigan Ave & Washington St,184,910800
2404,,,Loomis St & Taylor St,Michigan Ave & Washington St,Loomis St & Taylor St,Customer,4600,11/3/2013 11:19,1,11/3/2013 10:51,139,Michigan Ave & Washington St,"1,677",910827
2404,,,Halsted St & Blackhawk St,Loomis St & Taylor St,Halsted St & Blackhawk St,Customer,5463,11/3/2013 12:52,139,11/3/2013 12:25,176,Loomis St & Taylor St,"1,659",911592
2404,,,Lincoln Ave & Belle Plaine Ave,Logan Blvd & Elston Ave,Lincoln Ave & Belle Plaine Ave,Customer,3411,11/8/2013 10:41,145,11/8/2013 10:28,252,Logan Blvd & Elston Ave,785,942267
