bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,overage,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
2874,1951,Canal St & Jackson Blvd,41.871262,-87.673688,284,Wolcott Ave & Polk St,Male,3535,0,Wolcott Ave & Polk St,10/23/2013 16:43,10/23/2013 17:00,41.87811421,-87.63997112,138,Canal St & Jackson Blvd,848334,1038,Subscriber
2874,1972,Larrabee St & Menomonee St,41.878724,-87.634793,7,Franklin St & Quincy St,Male,5023,0,Franklin St & Quincy St,10/23/2013 18:51,10/23/2013 19:10,41.91468,-87.64332,282,Larrabee St & Menomonee St,849759,1111,Subscriber
2874,1977,Lincoln Ave & Armitage Ave,41.91468,-87.64332,282,Larrabee St & Menomonee St,Male,842,0,Larrabee St & Menomonee St,10/24/2013 18:57,10/24/2013 19:01,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,856036,234,Subscriber
2874,1980,Clark St & Lincoln Ave,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,Male,503,0,Lincoln Ave & Armitage Ave,10/25/2013 13:35,10/25/2013 13:38,41.915689,-87.6346,179,Clark St & Lincoln Ave,859867,135,Subscriber
2874,1980,Lincoln Ave & Armitage Ave,41.915689,-87.6346,179,Clark St & Lincoln Ave,Male,503,0,Clark St & Lincoln Ave,10/25/2013 15:37,10/25/2013 15:39,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,860698,164,Subscriber
2874,1982,Damen Ave & Charleston St,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,Male,3739,0,Lincoln Ave & Armitage Ave,10/26/2013 22:36,10/26/2013 22:52,41.920082,-87.677855,288,Damen Ave & Charleston St,869496,961,Subscriber
2874,,Southport Ave & Wrightwood Ave,41.920082,-87.677855,288,Damen Ave & Charleston St,,2490,0,Damen Ave & Charleston St,10/27/2013 14:43,10/27/2013 14:53,41.92888,-87.66317,298,Southport Ave & Wrightwood Ave,872433,599,Customer
2874,,Damen Ave & Cortland Ave,41.92888,-87.66317,298,Southport Ave & Wrightwood Ave,,2559,0,Southport Ave & Wrightwood Ave,10/27/2013 15:35,10/27/2013 15:52,41.916027,-87.677411,133,Damen Ave & Cortland Ave,872896,1000,Customer
2874,1988,Ashland Ave & Augusta Blvd,41.916027,-87.677411,133,Damen Ave & Cortland Ave,Female,2620,0,Damen Ave & Cortland Ave,10/28/2013 7:17,10/28/2013 7:26,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,875553,493,Subscriber
2874,1972,Congress Pkwy & Ogden Ave,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,Male,3206,0,Ashland Ave & Augusta Blvd,10/28/2013 8:12,10/28/2013 8:24,41.87501,-87.67328,0,Congress Pkwy & Ogden Ave,876107,703,Subscriber
