bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,overage,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
1227,,Sheffield Ave & Kingsbury St,41.877749,-87.649633,158,Peoria St & Jackson Blvd,,4205,2.0,Peoria St & Jackson Blvd,8/6/2013 18:21,8/6/2013 18:52,41.90959193,-87.65349723,154,Sheffield Ave & Kingsbury St,170901,1878,Customer
1227,1989,Sheffield Ave & Fullerton Ave,41.90959193,-87.65349723,154,Sheffield Ave & Kingsbury St,Male,1798,0,Sheffield Ave & Kingsbury St,8/6/2013 20:06,8/6/2013 20:13,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,171542,429,Subscriber
1227,,Sheffield Ave & Fullerton Ave,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,0,0,Sheffield Ave & Fullerton Ave,8/7/2013 2:34,8/7/2013 2:44,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,172402,628,Customer
1227,,Southport Ave & Wrightwood Ave,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,1159,0,Sheffield Ave & Fullerton Ave,8/7/2013 15:32,8/7/2013 15:36,41.92888,-87.66317,298,Southport Ave & Wrightwood Ave,175154,267,Customer
1227,,Michigan Ave & Lake St,41.89102,-87.6173,51,McClurg Ct & Illinois St,,2162,0,McClurg Ct & Illinois St,8/7/2013 23:18,8/7/2013 23:36,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,177625,1085,Customer
1227,,Michigan Ave & Congress Pkwy,41.8860581151,-87.6242893413,43,Michigan Ave & Lake St,,1292,0,Michigan Ave & Lake St,8/7/2013 23:40,8/7/2013 23:57,41.876065599,-87.6244333636,40,Michigan Ave & Congress Pkwy,177636,1027,Customer
1227,1962,Clinton St & Madison St,41.876065599,-87.6244333636,40,Michigan Ave & Congress Pkwy,Female,2158,0,Michigan Ave & Congress Pkwy,8/8/2013 5:40,8/8/2013 5:50,41.8815824,-87.64127743,301,Clinton St & Madison St,177781,608,Subscriber
1227,1983,State St & Kinzie St,41.8815824,-87.64127743,301,Clinton St & Madison St,Male,2061,0,Clinton St & Madison St,8/8/2013 14:54,8/8/2013 15:03,41.88918,-87.6277,50,State St & Kinzie St,180586,534,Subscriber
1227,1970,Wells St & Walton St,41.88918,-87.6277,50,State St & Kinzie St,Male,1970,0,State St & Kinzie St,8/8/2013 15:07,8/8/2013 15:16,41.89993001,-87.63443007,46,Wells St & Walton St,180647,513,Subscriber
1227,,Orleans St & Merchandise Mart Plaza,41.89993001,-87.63443007,46,Wells St & Walton St,,1602,0,Wells St & Walton St,8/10/2013 11:34,8/10/2013 11:57,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,193202,1359,Customer
1227,1953,Canal St & Madison St,41.888243,-87.63639,13,Orleans St & Merchandise Mart Plaza,Male,1792,0,Orleans St & Merchandise Mart Plaza,8/10/2013 12:13,8/10/2013 12:20,41.882091,-87.639833,341,Canal St & Madison St,193751,412,Subscriber
1227,,Ogden Ave & Chicago Ave,41.882091,-87.639833,341,Canal St & Madison St,,2262,0,Canal St & Madison St,8/10/2013 12:28,8/10/2013 12:48,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,193852,1223,Customer
1227,,Sheffield Ave & Fullerton Ave,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,,3953,0,Ogden Ave & Chicago Ave,8/10/2013 12:51,8/10/2013 13:17,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,194120,1559,Customer
1227,,Sedgwick St & Webster Ave,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,1561,0,Sheffield Ave & Fullerton Ave,8/10/2013 13:24,8/10/2013 13:38,41.92197,-87.63854,191,Sedgwick St & Webster Ave,194574,807,Customer
1227,,Sedgwick St & Webster Ave,41.92197,-87.63854,191,Sedgwick St & Webster Ave,,0,2.0,Sedgwick St & Webster Ave,8/10/2013 13:51,8/10/2013 14:38,41.92197,-87.63854,191,Sedgwick St & Webster Ave,194997,2792,Customer
1227,,Racine Ave & Fullerton Ave,41.92197,-87.63854,191,Sedgwick St & Webster Ave,,1957,0,Sedgwick St & Webster Ave,8/10/2013 14:57,8/10/2013 15:08,41.92556258,-87.65840426,189,Racine Ave & Fullerton Ave,195951,627,Customer
1227,1988,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,Male,0,0,Lake Shore Dr & Wellington Ave,8/10/2013 17:07,8/10/2013 17:33,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,197685,1574,Subscriber
1227,1988,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,Male,0,0,Lake Shore Dr & Wellington Ave,8/10/2013 17:34,8/10/2013 17:38,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,198071,244,Subscriber
1227,1988,Sheffield Ave & Addison St,41.936669,-87.636794,234,Lake Shore Dr & Wellington Ave,Male,2402,0,Lake Shore Dr & Wellington Ave,8/10/2013 17:38,8/10/2013 17:54,41.94688,-87.65445,62,Sheffield Ave & Addison St,198130,925,Subscriber
1227,,Streeter Dr & Illinois St,41.94688,-87.65445,62,Sheffield Ave & Addison St,,9045,2.0,Sheffield Ave & Addison St,8/10/2013 18:58,8/10/2013 19:45,41.891071,-87.6122,22,Streeter Dr & Illinois St,199020,2842,Customer
1227,,Lake Shore Dr & Monroe St,41.891071,-87.6122,22,Streeter Dr & Illinois St,,1830,6.0,Streeter Dr & Illinois St,8/10/2013 19:52,8/10/2013 21:01,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,199524,4163,Customer
1227,,Lake Shore Dr & Monroe St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,0,0,Lake Shore Dr & Monroe St,8/10/2013 21:16,8/10/2013 21:43,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,200089,1623,Customer
1227,,Lake Shore Dr & Monroe St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,0,0,Lake Shore Dr & Monroe St,8/10/2013 21:45,8/10/2013 21:58,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,200235,803,Customer
1227,,Lake Shore Dr & Monroe St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,0,0,Lake Shore Dr & Monroe St,8/10/2013 22:00,8/10/2013 22:24,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,200309,1471,Customer
1227,,McClurg Ct & Illinois St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,1857,0,Lake Shore Dr & Monroe St,8/10/2013 22:33,8/10/2013 22:51,41.89102,-87.6173,51,McClurg Ct & Illinois St,200432,1064,Customer
1227,,Kingsbury St & Erie St,41.890749,-87.63206,430,LaSalle St & Illinois St,,1332,0,LaSalle St & Illinois St,8/11/2013 11:24,8/11/2013 11:42,41.89384315,-87.64185116,265,Kingsbury St & Erie St,202652,1055,Customer
1227,1980,Cannon Dr & Fullerton Ave,41.90959193,-87.65349723,154,Sheffield Ave & Kingsbury St,Male,3433,0,Sheffield Ave & Kingsbury St,8/12/2013 13:31,8/12/2013 13:50,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,211244,1155,Subscriber
1227,,Sedgwick St & Webster Ave,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,,890,0,Cannon Dr & Fullerton Ave,8/12/2013 14:04,8/12/2013 14:15,41.92197,-87.63854,191,Sedgwick St & Webster Ave,211497,698,Customer
1227,1961,Columbus Dr & Randolph St,41.864059,-87.623727,310,Michigan Ave & 14th St,Male,4782,0,Michigan Ave & 14th St,8/14/2013 7:39,8/14/2013 7:51,41.8853,-87.62077,263,Columbus Dr & Randolph St,221980,713,Subscriber
1227,1959,Clinton St & Washington Blvd,41.8853,-87.62077,263,Columbus Dr & Randolph St,Male,1899,0,Columbus Dr & Randolph St,8/14/2013 8:41,8/14/2013 8:51,41.88338,-87.64117,10,Clinton St & Washington Blvd,222448,623,Subscriber
1227,1969,Michigan Ave & Washington St,41.88338,-87.64117,10,Clinton St & Washington Blvd,Male,1655,0,Clinton St & Washington Blvd,8/14/2013 8:56,8/14/2013 9:02,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,222564,387,Subscriber
1227,,Lake Shore Dr & Monroe St,41.8838927658,-87.6246491409,1,Michigan Ave & Washington St,,1455,0,Michigan Ave & Washington St,8/14/2013 12:00,8/14/2013 12:16,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,223464,943,Customer
1227,,Museum Campus,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,2262,0,Lake Shore Dr & Monroe St,8/14/2013 12:17,8/14/2013 12:29,41.865212,-87.617759,29,Museum Campus,223561,700,Customer
1227,,Millennium Park,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,1687,2.0,Wabash Ave & Roosevelt Rd,8/14/2013 17:19,8/14/2013 17:57,41.8810317,-87.62408432,8,Millennium Park,225855,2315,Customer
1227,1968,State St & 16th St,41.8810317,-87.62408432,8,Millennium Park,Male,2884,1.5,Millennium Park,8/14/2013 18:18,8/14/2013 18:48,41.8601213774,-87.6277291853,148,State St & 16th St,226573,1803,Subscriber
1227,1969,Michigan Ave & 14th St,41.8601213774,-87.6277291853,148,State St & 16th St,Female,771,0,State St & 16th St,8/14/2013 20:34,8/14/2013 20:39,41.864059,-87.623727,310,Michigan Ave & 14th St,227545,346,Subscriber
1227,,Museum Campus,41.864059,-87.623727,310,Michigan Ave & 14th St,,2150,0,Michigan Ave & 14th St,8/14/2013 23:27,8/14/2013 23:53,41.865212,-87.617759,29,Museum Campus,228245,1540,Customer
1227,,Lake Shore Dr & Monroe St,41.865212,-87.617759,29,Museum Campus,,2229,0,Museum Campus,8/15/2013 9:52,8/15/2013 10:15,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,229605,1403,Customer
1227,,Wabash Ave & Roosevelt Rd,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,2516,0,Lake Shore Dr & Monroe St,8/15/2013 10:23,8/15/2013 10:50,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,229706,1596,Customer
1227,,Millennium Park,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,1687,0,Wabash Ave & Roosevelt Rd,8/15/2013 11:07,8/15/2013 11:30,41.8810317,-87.62408432,8,Millennium Park,229920,1369,Customer
1227,,Canal St & Adams St,41.8810317,-87.62408432,8,Millennium Park,,1724,2.0,Millennium Park,8/15/2013 14:23,8/15/2013 14:54,41.87923,-87.640015,11,Canal St & Adams St,231233,1859,Customer
1227,,Halsted St & Madison St,41.87923,-87.640015,11,Canal St & Adams St,,923,0,Canal St & Adams St,8/15/2013 17:53,8/15/2013 17:58,41.88175,-87.6478,159,Halsted St & Madison St,232983,322,Customer
1227,1954,May St & Randolph St,41.88175,-87.6478,159,Halsted St & Madison St,Male,985,0,Halsted St & Madison St,8/15/2013 18:24,8/15/2013 18:29,41.88397,-87.655688,155,May St & Randolph St,233323,300,Subscriber
1227,1954,Aberdeen St & Madison St,41.88397,-87.655688,155,May St & Randolph St,Male,347,0,May St & Randolph St,8/15/2013 18:49,8/15/2013 19:06,41.881487,-87.654752,156,Aberdeen St & Madison St,233550,1052,Subscriber
1227,,Aberdeen St & Jackson Blvd,41.881487,-87.654752,156,Aberdeen St & Madison St,,795,0,Aberdeen St & Madison St,8/15/2013 22:17,8/15/2013 22:27,41.87772613,-87.65478743,157,Aberdeen St & Jackson Blvd,234668,642,Customer
1227,1969,Ellis Ave & 58th St,41.87772613,-87.65478743,157,Aberdeen St & Jackson Blvd,Male,16420,1.5,Aberdeen St & Jackson Blvd,8/16/2013 7:21,8/16/2013 8:06,41.788746,-87.601334,365,Ellis Ave & 58th St,235434,2678,Subscriber
1227,1972,Streeter Dr & Illinois St,41.8793563587,-87.6297910363,20,Dearborn St & Adams St,Male,2750,0,Dearborn St & Adams St,8/16/2013 13:23,8/16/2013 13:40,41.891071,-87.6122,22,Streeter Dr & Illinois St,238096,1014,Subscriber
1227,,Clark St & North Ave,41.891071,-87.6122,22,Streeter Dr & Illinois St,,3629,2.0,Streeter Dr & Illinois St,8/16/2013 13:46,8/16/2013 14:22,41.911791,-87.631841,128,Clark St & North Ave,238301,2133,Customer
1227,,Orleans St & Elm St,41.911791,-87.631841,128,Clark St & North Ave,,1505,2.0,Clark St & North Ave,8/16/2013 14:22,8/16/2013 14:57,41.902924,-87.637715,172,Orleans St & Elm St,238635,2067,Customer
1227,,Lake Shore Dr & Monroe St,41.88918,-87.6277,50,State St & Kinzie St,,2647,14.0,State St & Kinzie St,8/17/2013 9:19,8/17/2013 11:03,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,244237,6201,Customer
1227,,Streeter Dr & Illinois St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,1455,0,Lake Shore Dr & Monroe St,8/17/2013 11:07,8/17/2013 11:18,41.891071,-87.6122,22,Streeter Dr & Illinois St,245272,628,Customer
1227,,Michigan Ave & Oak St,41.891071,-87.6122,22,Streeter Dr & Illinois St,,2094,0,Streeter Dr & Illinois St,8/17/2013 11:22,8/17/2013 11:51,41.90096039,-87.62377664,42,Michigan Ave & Oak St,245449,1711,Customer
1227,,Lake Shore Dr & Monroe St,41.90096039,-87.62377664,42,Michigan Ave & Oak St,,3603,0,Michigan Ave & Oak St,8/17/2013 11:54,8/17/2013 12:22,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,245873,1707,Customer
1227,,Wabash Ave & Roosevelt Rd,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,2516,2.0,Lake Shore Dr & Monroe St,8/17/2013 12:38,8/17/2013 13:33,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,246579,3268,Customer
1227,,Michigan Ave & 14th St,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,,514,38.0,Wabash Ave & Roosevelt Rd,8/17/2013 13:48,8/17/2013 17:01,41.864059,-87.623727,310,Michigan Ave & 14th St,247653,11610,Customer
1227,,Greenwood Ave & 47th St,41.864059,-87.623727,310,Michigan Ave & 14th St,,9176,2.0,Michigan Ave & 14th St,8/17/2013 17:36,8/17/2013 18:25,41.809835,-87.599383,396,Greenwood Ave & 47th St,250872,2960,Customer
1227,,Ellis Ave & 58th St,41.809835,-87.599383,396,Greenwood Ave & 47th St,,2928,0,Greenwood Ave & 47th St,8/17/2013 18:32,8/17/2013 18:44,41.788746,-87.601334,365,Ellis Ave & 58th St,251608,721,Customer
1227,,Museum Campus,41.788746,-87.601334,365,Ellis Ave & 58th St,,11600,2.0,Ellis Ave & 58th St,8/17/2013 22:33,8/17/2013 23:18,41.865212,-87.617759,29,Museum Campus,253574,2724,Customer
1227,,State St & Wacker Dr,41.887155,-87.62775,339,State St & Wacker Dr,,0,30.0,State St & Wacker Dr,8/18/2013 9:04,8/18/2013 12:01,41.887155,-87.62775,339,State St & Wacker Dr,254926,10620,Customer
1227,,Millennium Park,41.887155,-87.62775,339,State St & Wacker Dr,,1133,0,State St & Wacker Dr,8/18/2013 13:33,8/18/2013 13:47,41.8810317,-87.62408432,8,Millennium Park,257974,844,Customer
