bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,overage,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
2654,1981,Larrabee St & North Ave,41.894448,-87.622663,16,St Clair St & Erie St,Female,3277,0,St Clair St & Erie St,10/16/2013 16:54,10/16/2013 17:10,41.91021,-87.6435,174,Larrabee St & North Ave,801095,961,Subscriber
2654,1978,Dearborn St & Monroe St,41.881131,-87.635185,57,Franklin St & Arcade Pl,Male,789,0,Franklin St & Arcade Pl,10/18/2013 19:00,10/18/2013 19:03,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,816328,181,Subscriber
2654,1964,Dearborn Pkwy & Delaware Pl,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,Male,1967,0,Dearborn St & Monroe St,10/18/2013 20:52,10/18/2013 21:02,41.899007,-87.629928,173,Dearborn Pkwy & Delaware Pl,816809,637,Subscriber
2654,,Clark St & Schiller St,41.899007,-87.629928,173,Dearborn Pkwy & Delaware Pl,,1123,0,Dearborn Pkwy & Delaware Pl,10/18/2013 23:18,10/18/2013 23:28,41.907993,-87.631501,200,Clark St & Schiller St,817198,554,Customer
2654,,Clark St & North Ave,41.907993,-87.631501,200,Clark St & Schiller St,,422,2.0,Clark St & Schiller St,10/19/2013 11:19,10/19/2013 12:17,41.911791,-87.631841,128,Clark St & North Ave,818899,3490,Customer
2654,1984,Dayton St & North Ave,41.91797,-87.64368,184,Larrabee St & Armitage Ave,Male,1324,0,Larrabee St & Armitage Ave,10/19/2013 14:46,10/19/2013 14:52,41.9105780349,-87.6494219288,58,Dayton St & North Ave,821338,353,Subscriber
2654,1971,Franklin St & Jackson Blvd,41.9105780349,-87.6494219288,58,Dayton St & North Ave,Male,5209,0,Dayton St & North Ave,10/19/2013 15:07,10/19/2013 15:28,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,821589,1232,Subscriber
2654,1977,Damen Ave & Division St,41.8777079559,-87.6353211408,19,Franklin St & Jackson Blvd,Male,5226,0,Franklin St & Jackson Blvd,10/19/2013 15:30,10/19/2013 15:53,41.90331,-87.67695,136,Damen Ave & Division St,821855,1388,Subscriber
2654,1971,Fairbanks Ct & Grand Ave,41.90331,-87.67695,136,Damen Ave & Division St,Male,5613,0,Damen Ave & Division St,10/19/2013 18:03,10/19/2013 18:23,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,823284,1221,Subscriber
2654,1983,Stetson Ave & South Water St,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,Male,779,0,Fairbanks Ct & Grand Ave,10/19/2013 20:51,10/19/2013 20:56,41.886861,-87.622694,48,Stetson Ave & South Water St,823905,277,Subscriber
2654,1981,Clark St & Randolph St,41.886861,-87.622694,48,Stetson Ave & South Water St,Male,1606,0,Stetson Ave & South Water St,10/20/2013 8:19,10/20/2013 8:27,41.884576228,-87.63188991,5,Clark St & Randolph St,824745,535,Subscriber
2654,1971,State St & Wacker Dr,41.884576228,-87.63188991,5,Clark St & Randolph St,Female,799,0,Clark St & Randolph St,10/20/2013 13:07,10/20/2013 13:13,41.887155,-87.62775,339,State St & Wacker Dr,826639,345,Subscriber
2654,,Columbus Dr & Randolph St,41.887155,-87.62775,339,State St & Wacker Dr,,1124,0,State St & Wacker Dr,10/20/2013 15:23,10/20/2013 15:44,41.8853,-87.62077,263,Columbus Dr & Randolph St,828022,1259,Customer
