bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
1243,,,Canal St & Monroe St,Canal St & Harrison St,Canal St & Monroe St,Customer,727,8/8/2013 5:55,326,8/8/2013 5:51,56,Canal St & Harrison St,239,177782
1243,,,Sedgwick St & Webster Ave,Sedgwick St & Webster Ave,Sedgwick St & Webster Ave,Customer,0,8/9/2013 14:40,191,8/9/2013 14:13,191,Sedgwick St & Webster Ave,"1,641",187388
1243,,,Larrabee St & Menomonee St,Sedgwick St & Webster Ave,Larrabee St & Menomonee St,Customer,1223,8/9/2013 16:13,191,8/9/2013 15:52,282,Sedgwick St & Webster Ave,"1,303",188206
1243,,,Sheffield Ave & Fullerton Ave,LaSalle St & Illinois St,Sheffield Ave & Fullerton Ave,Customer,5325,8/10/2013 11:48,430,8/10/2013 11:20,60,LaSalle St & Illinois St,"1,669",193022
1243,,,Michigan Ave & Pearson St,Sheffield Ave & Fullerton Ave,Michigan Ave & Pearson St,Customer,4906,8/10/2013 14:11,60,8/10/2013 13:11,34,Sheffield Ave & Fullerton Ave,"3,578",194409
1243,,,Lake Shore Dr & Ohio St,Michigan Ave & Oak St,Lake Shore Dr & Ohio St,Customer,3934,8/11/2013 9:18,42,8/11/2013 9:03,337,Michigan Ave & Oak St,868,201559
1243,,,Streeter Dr & Illinois St,Lake Shore Dr & Ohio St,Streeter Dr & Illinois St,Customer,338,8/11/2013 9:36,337,8/11/2013 9:23,22,Lake Shore Dr & Ohio St,807,201658
1243,,,Wabash Ave & Roosevelt Rd,Streeter Dr & Illinois St,Wabash Ave & Roosevelt Rd,Customer,4372,8/11/2013 12:04,22,8/11/2013 11:31,31,Streeter Dr & Illinois St,"1,943",202743
1243,,,Wabash Ave & Cermak Rd,Wabash Ave & Roosevelt Rd,Wabash Ave & Cermak Rd,Customer,1551,8/11/2013 13:48,31,8/11/2013 13:42,170,Wabash Ave & Roosevelt Rd,362,204220
1243,,,Michigan Ave & 14th St,Wabash Ave & Cermak Rd,Michigan Ave & 14th St,Customer,1373,8/11/2013 20:44,170,8/11/2013 18:35,310,Wabash Ave & Cermak Rd,"7,734",207367
1243,,,Larrabee St & Kingsbury St,State St & Erie St,Larrabee St & Kingsbury St,Customer,1692,8/13/2013 17:43,45,8/13/2013 17:36,12,State St & Erie St,430,219520
1243,,,Lake Shore Dr & Ohio St,Wilton Ave & Diversey Pkwy,Lake Shore Dr & Ohio St,Customer,6375,8/13/2013 19:41,66,8/13/2013 19:13,337,Wilton Ave & Diversey Pkwy,"1,658",220413
1243,,,Wilton Ave & Diversey Pkwy,Lake Shore Dr & Ohio St,Wilton Ave & Diversey Pkwy,Customer,7214,8/13/2013 20:12,337,8/13/2013 19:43,66,Lake Shore Dr & Ohio St,"1,785",220654
1243,,,Dayton St & North Ave,Wilton Ave & Diversey Pkwy,Dayton St & North Ave,Customer,2678,8/13/2013 23:42,66,8/13/2013 23:31,58,Wilton Ave & Diversey Pkwy,641,221484
1243,,,Ashland Ave & Lake St,Dayton St & North Ave,Ashland Ave & Lake St,Customer,4529,8/13/2013 23:57,58,8/13/2013 23:43,73,Dayton St & North Ave,848,221504
1243,,,Wentworth Ave & Archer Ave,Clark St & Elm St,Wentworth Ave & Archer Ave,Customer,9097,8/16/2013 17:28,349,8/16/2013 17:00,75,Clark St & Elm St,"1,713",240285
1243,,,Ellis Ave & 58th St,Wentworth Ave & Archer Ave,Ellis Ave & 58th St,Customer,13250,8/17/2013 12:40,75,8/17/2013 12:15,365,Wentworth Ave & Archer Ave,"1,515",246206
1243,,,Streeter Dr & Illinois St,Ellis Ave & 58th St,Streeter Dr & Illinois St,Customer,14674,8/17/2013 13:10,365,8/17/2013 12:44,22,Ellis Ave & 58th St,"1,555",246658
1243,,,Damen Ave & Pierce Ave,State St & Kinzie St,Damen Ave & Pierce Ave,Customer,5278,8/17/2013 16:48,50,8/17/2013 16:13,65,State St & Kinzie St,"2,064",249726
1243,,,Michigan Ave & Pearson St,Michigan Ave & Pearson St,Michigan Ave & Pearson St,Customer,0,8/21/2013 1:48,34,8/21/2013 0:05,34,Michigan Ave & Pearson St,"6,196",280374
1243,,,Michigan Ave & Washington St,Michigan Ave & Pearson St,Michigan Ave & Washington St,Customer,1865,8/21/2013 8:08,34,8/21/2013 7:55,1,Michigan Ave & Pearson St,777,281033
1243,,,Michigan Ave & 14th St,Michigan Ave & Washington St,Michigan Ave & 14th St,Customer,2424,8/21/2013 11:56,1,8/21/2013 11:18,310,Michigan Ave & Washington St,"2,297",282473
1243,,,Michigan Ave & Congress Pkwy,Michigan Ave & 14th St,Michigan Ave & Congress Pkwy,Customer,1591,8/21/2013 13:52,310,8/21/2013 13:23,40,Michigan Ave & 14th St,"1,724",283434
1243,,,Halsted St & Madison St,Wells St & Polk St,Halsted St & Madison St,Customer,2217,8/24/2013 9:41,344,8/24/2013 9:30,159,Wells St & Polk St,618,304580
1243,,,Streeter Dr & Illinois St,Michigan Ave & Washington St,Streeter Dr & Illinois St,Customer,1892,8/24/2013 14:36,1,8/24/2013 13:59,22,Michigan Ave & Washington St,"2,232",308196
1243,,,Daley Center Plaza,Streeter Dr & Illinois St,Daley Center Plaza,Customer,2682,8/24/2013 14:57,22,8/24/2013 14:38,23,Streeter Dr & Illinois St,"1,166",308923
1243,,,Clark St & Lincoln Ave,Hampden Ct & Diversey Pkwy,Clark St & Lincoln Ave,Customer,2174,8/24/2013 16:21,123,8/24/2013 15:56,179,Hampden Ct & Diversey Pkwy,"1,501",310373
1243,,,Lake Shore Dr & Ohio St,Sheridan Rd & Irving Park Rd,Lake Shore Dr & Ohio St,Customer,8433,8/25/2013 14:03,63,8/25/2013 13:05,337,Sheridan Rd & Irving Park Rd,"3,479",319501
1243,,,Lake Shore Dr & Monroe St,Lake Shore Dr & Ohio St,Lake Shore Dr & Monroe St,Customer,1535,8/25/2013 14:22,337,8/25/2013 14:07,300,Lake Shore Dr & Ohio St,880,320456
1243,,,Peoria St & Jackson Blvd,Lake Shore Dr & Monroe St,Peoria St & Jackson Blvd,Customer,5719,8/25/2013 14:54,300,8/25/2013 14:35,158,Lake Shore Dr & Monroe St,"1,151",320889
1243,,,Aberdeen St & Jackson Blvd,Peoria St & Jackson Blvd,Aberdeen St & Jackson Blvd,Customer,1072,8/25/2013 20:26,158,8/25/2013 20:03,157,Peoria St & Jackson Blvd,"1,387",324980
1243,,,Clark St & Randolph St,Clark St & Elm St,Clark St & Randolph St,Customer,2165,8/26/2013 18:08,349,8/26/2013 17:52,5,Clark St & Elm St,959,331838
1243,,,Racine Ave & Fullerton Ave,Hampden Ct & Diversey Pkwy,Racine Ave & Fullerton Ave,Customer,2150,8/27/2013 8:53,123,8/27/2013 8:42,189,Hampden Ct & Diversey Pkwy,649,335266
1243,,,Ashland Ave & Armitage Ave,Racine Ave & Fullerton Ave,Ashland Ave & Armitage Ave,Customer,1925,8/28/2013 15:05,189,8/28/2013 14:53,25,Racine Ave & Fullerton Ave,728,344797
1243,,,Wabash Ave & Grand Ave,Ashland Ave & Division St,Wabash Ave & Grand Ave,Customer,4494,8/29/2013 16:12,61,8/29/2013 15:42,4,Ashland Ave & Division St,"1,809",352747
1243,,,Sedgwick St & Huron St,Clinton St & Washington Blvd,Sedgwick St & Huron St,Customer,2156,8/29/2013 17:21,10,8/29/2013 17:13,52,Clinton St & Washington Blvd,444,353766
1243,,,Halsted St & James M Rochford St,Clinton St & Roosevelt Rd,Halsted St & James M Rochford St,Customer,689,8/29/2013 19:54,327,8/29/2013 19:47,166,Clinton St & Roosevelt Rd,448,355562
1243,,,Blue Island Ave & 18th St,Halsted St & James M Rochford St,Blue Island Ave & 18th St,Customer,2042,8/29/2013 21:20,166,8/29/2013 21:10,135,Halsted St & James M Rochford St,623,356070
1243,,,Lake Shore Dr & Ohio St,State St & Randolph St,Lake Shore Dr & Ohio St,Customer,5903,8/30/2013 11:59,2,8/30/2013 11:24,337,State St & Randolph St,"2,047",359066
1243,,,Streeter Dr & Illinois St,Lake Shore Dr & Ohio St,Streeter Dr & Illinois St,Customer,338,8/30/2013 12:37,337,8/30/2013 12:15,22,Lake Shore Dr & Ohio St,"1,311",359382
1243,,,Michigan Ave & Pearson St,Streeter Dr & Illinois St,Michigan Ave & Pearson St,Customer,2146,8/30/2013 13:02,22,8/30/2013 12:44,34,Streeter Dr & Illinois St,"1,030",359624
1243,,,Michigan Ave & Oak St,Dayton St & North Ave,Michigan Ave & Oak St,Customer,2851,8/31/2013 14:11,58,8/31/2013 13:51,42,Dayton St & North Ave,"1,222",365904
1243,,,Streeter Dr & Illinois St,Michigan Ave & Oak St,Streeter Dr & Illinois St,Customer,2418,8/31/2013 14:28,42,8/31/2013 14:12,22,Michigan Ave & Oak St,930,366144
1243,,,Lake Shore Dr & Monroe St,Columbus Dr & Randolph St,Lake Shore Dr & Monroe St,Customer,1786,8/31/2013 18:44,263,8/31/2013 18:26,300,Columbus Dr & Randolph St,"1,089",369024
1243,,,Streeter Dr & Illinois St,Lake Shore Dr & Monroe St,Streeter Dr & Illinois St,Customer,1455,8/31/2013 18:53,300,8/31/2013 18:45,22,Lake Shore Dr & Monroe St,476,369211
1243,,,Millennium Park,Streeter Dr & Illinois St,Millennium Park,Customer,2939,8/31/2013 19:21,22,8/31/2013 19:00,8,Streeter Dr & Illinois St,"1,220",369345
1243,,,State St & Harrison St,Millennium Park,State St & Harrison St,Customer,1316,8/31/2013 20:15,8,8/31/2013 19:56,30,Millennium Park,"1,128",369817
1243,,,Ashland Ave & Wellington Ave,State St & Harrison St,Ashland Ave & Wellington Ave,Customer,11560,9/1/2013 15:38,30,9/1/2013 15:06,269,State St & Harrison St,"1,914",377250
1243,,,Lake Shore Dr & Wellington Ave,Damen Ave & Melrose Ave,Lake Shore Dr & Wellington Ave,Customer,3816,9/1/2013 17:44,143,9/1/2013 16:54,234,Damen Ave & Melrose Ave,"2,946",379437
1243,,,Streeter Dr & Illinois St,Lake Shore Dr & Wellington Ave,Streeter Dr & Illinois St,Customer,6755,9/1/2013 18:43,234,9/1/2013 17:53,22,Lake Shore Dr & Wellington Ave,"3,044",380411
1243,,,LaSalle St & Illinois St,Clinton St & Madison St,LaSalle St & Illinois St,Customer,1885,9/1/2013 23:37,301,9/1/2013 23:23,430,Clinton St & Madison St,844,383670
1243,,,Clark St & Randolph St,Dearborn Pkwy & Delaware Pl,Clark St & Randolph St,Customer,1993,9/2/2013 10:55,173,9/2/2013 10:41,5,Dearborn Pkwy & Delaware Pl,829,385554
1243,,,Columbus Dr & Randolph St,Wabash Ave & Grand Ave,Columbus Dr & Randolph St,Customer,1431,9/2/2013 15:17,4,9/2/2013 14:00,263,Wabash Ave & Grand Ave,"4,643",389159
1243,,,Michigan Ave & Lake St,Columbus Dr & Randolph St,Michigan Ave & Lake St,Customer,556,9/2/2013 17:41,263,9/2/2013 16:02,43,Columbus Dr & Randolph St,"5,954",391659
1243,,,Morgan Ave & 14th Pl,Michigan Ave & Lake St,Morgan Ave & 14th Pl,Customer,5053,9/2/2013 18:21,43,9/2/2013 17:54,169,Michigan Ave & Lake St,"1,601",393439
1243,,,State St & Van Buren St,State St & Randolph St,State St & Van Buren St,Customer,839,9/2/2013 22:02,2,9/2/2013 21:40,3,State St & Randolph St,"1,325",395235
1243,,,State St & 16th St,State St & 16th St,State St & 16th St,Customer,0,9/3/2013 17:10,148,9/3/2013 16:06,148,State St & 16th St,"3,840",400123
1243,,,Normal Ave & Archer Ave,State St & 16th St,Normal Ave & Archer Ave,Customer,1806,9/3/2013 20:07,148,9/3/2013 19:57,308,State St & 16th St,605,402778
1243,,,Sheffield Ave & Wellington Ave,Southport Ave & Wrightwood Ave,Sheffield Ave & Wellington Ave,Customer,1627,9/6/2013 18:38,298,9/6/2013 18:28,67,Southport Ave & Wrightwood Ave,567,428822
1243,,,Wilton Ave & Diversey Pkwy,Hampden Ct & Diversey Pkwy,Wilton Ave & Diversey Pkwy,Customer,1659,9/7/2013 10:47,123,9/7/2013 10:14,66,Hampden Ct & Diversey Pkwy,"2,017",432637
1243,,,Montrose Harbor,Wilton Ave & Diversey Pkwy,Montrose Harbor,Customer,6406,9/7/2013 11:27,66,9/7/2013 10:58,388,Wilton Ave & Diversey Pkwy,"1,743",433131
1243,,,Montrose Harbor,Montrose Harbor,Montrose Harbor,Customer,0,9/7/2013 12:00,388,9/7/2013 11:34,388,Montrose Harbor,"1,584",433610
1243,,,Clarendon Ave & Leland Ave,Montrose Harbor,Clarendon Ave & Leland Ave,Customer,1475,9/7/2013 12:28,388,9/7/2013 12:05,385,Montrose Harbor,"1,363",434076
1243,,,Lake Shore Dr & Wellington Ave,Clarendon Ave & Leland Ave,Lake Shore Dr & Wellington Ave,Customer,4260,9/7/2013 13:05,385,9/7/2013 12:45,234,Clarendon Ave & Leland Ave,"1,183",434669
1243,,,Hampden Ct & Diversey Pkwy,Lake Shore Dr & Wellington Ave,Hampden Ct & Diversey Pkwy,Customer,1406,9/7/2013 13:16,234,9/7/2013 13:09,123,Lake Shore Dr & Wellington Ave,409,435059
1243,,,Racine Ave & Belmont Ave,Hampden Ct & Diversey Pkwy,Racine Ave & Belmont Ave,Customer,2449,9/7/2013 14:23,123,9/7/2013 14:11,230,Hampden Ct & Diversey Pkwy,709,436046
1243,,,Theater on the Lake,Racine Ave & Belmont Ave,Theater on the Lake,Customer,3876,9/7/2013 15:13,230,9/7/2013 14:38,350,Racine Ave & Belmont Ave,"2,111",436533
1243,,,Southport Ave & Wellington Ave,Theater on the Lake,Southport Ave & Wellington Ave,Customer,3856,9/7/2013 16:09,350,9/7/2013 15:47,228,Theater on the Lake,"1,302",437650
1243,,,Southport Ave & Wrightwood Ave,Southport Ave & Wellington Ave,Southport Ave & Wrightwood Ave,Customer,798,9/7/2013 19:37,228,9/7/2013 19:33,298,Southport Ave & Wellington Ave,220,440506
1243,,,Racine Ave & Belmont Ave,Southport Ave & Wrightwood Ave,Racine Ave & Belmont Ave,Customer,1587,9/8/2013 0:21,298,9/8/2013 0:13,230,Southport Ave & Wrightwood Ave,439,442251
1243,,,Sangamon St & Washington Blvd,Ravenswood Ave & Irving Park Rd,Sangamon St & Washington Blvd,Customer,9818,9/8/2013 20:25,87,9/8/2013 19:40,409,Ravenswood Ave & Irving Park Rd,"2,720",449583
1243,,,Daley Center Plaza,LaSalle St & Illinois St,Daley Center Plaza,Customer,973,9/10/2013 8:23,430,9/10/2013 8:18,23,LaSalle St & Illinois St,310,459785
1243,,,Wood St & Milwaukee Ave,Ashland Ave & Division St,Wood St & Milwaukee Ave,Customer,704,9/11/2013 8:03,61,9/11/2013 7:40,221,Ashland Ave & Division St,"1,353",467045
1243,,,Mies van der Rohe Way & Chicago Ave,Ashland Ave & Division St,Mies van der Rohe Way & Chicago Ave,Customer,4603,9/11/2013 9:21,61,9/11/2013 8:57,338,Ashland Ave & Division St,"1,477",467905
1243,,,Noble St & Milwaukee Ave,Mies van der Rohe Way & Chicago Ave,Noble St & Milwaukee Ave,Customer,4031,9/11/2013 12:28,338,9/11/2013 12:05,290,Mies van der Rohe Way & Chicago Ave,"1,357",468929
1243,,,Wabash Ave & Roosevelt Rd,Millennium Park,Wabash Ave & Roosevelt Rd,Customer,1939,9/12/2013 12:04,8,9/12/2013 11:52,31,Millennium Park,722,476465
1243,,,Millennium Park,Wabash Ave & Roosevelt Rd,Millennium Park,Customer,1687,9/12/2013 13:08,31,9/12/2013 12:57,8,Wabash Ave & Roosevelt Rd,631,476927
1243,,,Damen Ave & Chicago Ave,LaSalle St & Washington St,Damen Ave & Chicago Ave,Customer,5321,9/12/2013 14:24,6,9/12/2013 13:58,132,LaSalle St & Washington St,"1,534",477432
1243,,,Indiana Ave & Roosevelt Rd,May St & Taylor St,Indiana Ave & Roosevelt Rd,Customer,3101,9/14/2013 16:39,160,9/14/2013 16:25,309,May St & Taylor St,837,498118
1243,,,Sheridan Rd & Irving Park Rd,Southport Ave & Waveland Ave,Sheridan Rd & Irving Park Rd,Customer,1471,9/14/2013 22:23,235,9/14/2013 22:05,63,Southport Ave & Waveland Ave,"1,082",501846
1243,,,Sheffield Ave & Wellington Ave,Sheridan Rd & Irving Park Rd,Sheffield Ave & Wellington Ave,Customer,2044,9/15/2013 1:45,63,9/15/2013 1:31,67,Sheridan Rd & Irving Park Rd,852,502544
1243,,,Lincoln Ave & Roscoe St,Wells St & Erie St,Lincoln Ave & Roscoe St,Customer,6806,9/16/2013 14:40,64,9/16/2013 14:12,78,Wells St & Erie St,"1,695",508160
1243,,,Clifton Ave & Lawrence Ave,Lincoln Ave & Roscoe St,Clifton Ave & Lawrence Ave,Customer,4430,9/17/2013 17:14,78,9/17/2013 16:48,104,Lincoln Ave & Roscoe St,"1,516",517919
1243,,,Wilton Ave & Diversey Pkwy,Clifton Ave & Lawrence Ave,Wilton Ave & Diversey Pkwy,Customer,5108,9/17/2013 21:14,104,9/17/2013 20:53,66,Clifton Ave & Lawrence Ave,"1,249",520603
1243,,,Clarendon Ave & Junior Ter,Wilton Ave & Diversey Pkwy,Clarendon Ave & Junior Ter,Customer,3478,9/17/2013 22:40,66,9/17/2013 22:26,389,Wilton Ave & Diversey Pkwy,834,521003
1243,,,Broadway & Berwyn Ave,Clarendon Ave & Junior Ter,Broadway & Berwyn Ave,Customer,2763,9/19/2013 19:16,389,9/19/2013 18:56,109,Clarendon Ave & Junior Ter,"1,179",532774
1243,,,California Ave & Milwaukee Ave,Broadway & Berwyn Ave,California Ave & Milwaukee Ave,Customer,9479,9/21/2013 10:05,109,9/21/2013 9:22,84,Broadway & Berwyn Ave,"2,580",544314
1243,,,Western Ave & Winnebago Ave,Broadway & Barry Ave,Western Ave & Winnebago Ave,Customer,6182,9/22/2013 15:48,137,9/22/2013 15:36,68,Broadway & Barry Ave,725,560569
1243,,,California Ave & Milwaukee Ave,Western Ave & Winnebago Ave,California Ave & Milwaukee Ave,Customer,1192,9/23/2013 15:31,68,9/23/2013 15:23,84,Western Ave & Winnebago Ave,460,568802
1243,,,Milwaukee Ave & Wabansia Ave,California Ave & Milwaukee Ave,Milwaukee Ave & Wabansia Ave,Customer,1769,9/23/2013 15:51,84,9/23/2013 15:44,243,California Ave & Milwaukee Ave,440,568964
1243,,,LaSalle St & Washington St,Carpenter St & Huron St,LaSalle St & Washington St,Customer,2768,9/24/2013 13:07,196,9/24/2013 12:40,6,Carpenter St & Huron St,"1,580",576149
1243,,,Wabash Ave & Grand Ave,Wood St & North Ave,Wabash Ave & Grand Ave,Customer,5391,9/26/2013 16:43,223,9/26/2013 16:23,4,Wood St & North Ave,"1,189",596715
1243,,,Wells St & Evergreen Ave,Orleans St & Merchandise Mart Plaza,Wells St & Evergreen Ave,Customer,2327,9/26/2013 18:37,13,9/26/2013 18:09,302,Orleans St & Merchandise Mart Plaza,"1,656",598531
1243,,,Halsted St & 35th St,Fairbanks Ct & Grand Ave,Halsted St & 35th St,Customer,9881,9/27/2013 11:56,262,9/27/2013 11:44,413,Fairbanks Ct & Grand Ave,715,604197
1243,,,Lake Shore Dr & Monroe St,Halsted St & 35th St,Lake Shore Dr & Monroe St,Customer,7832,9/27/2013 14:09,413,9/27/2013 13:22,300,Halsted St & 35th St,"2,838",605258
1243,,,Museum Campus,Lake Shore Dr & Monroe St,Museum Campus,Customer,2262,9/27/2013 14:48,300,9/27/2013 14:27,29,Lake Shore Dr & Monroe St,"1,235",606004
1243,,,Museum Campus,Museum Campus,Museum Campus,Customer,0,9/27/2013 15:18,29,9/27/2013 14:49,29,Museum Campus,"1,758",606270
1243,,,Streeter Dr & Illinois St,Museum Campus,Streeter Dr & Illinois St,Customer,3684,9/27/2013 15:40,29,9/27/2013 15:20,22,Museum Campus,"1,210",606631
1243,,,Michigan Ave & Pearson St,Streeter Dr & Illinois St,Michigan Ave & Pearson St,Customer,2146,9/27/2013 15:54,22,9/27/2013 15:42,34,Streeter Dr & Illinois St,719,606899
1243,,,Michigan Ave & Oak St,Michigan Ave & Pearson St,Michigan Ave & Oak St,Customer,1077,9/27/2013 20:01,34,9/27/2013 19:56,42,Michigan Ave & Pearson St,284,610814
1243,,,Dearborn St & Adams St,State St & Kinzie St,Dearborn St & Adams St,Customer,1281,9/28/2013 0:38,50,9/28/2013 0:26,20,State St & Kinzie St,750,612138
1243,,,Canal St & Jackson Blvd,Dearborn St & Adams St,Canal St & Jackson Blvd,Customer,1166,9/28/2013 9:06,20,9/28/2013 8:58,138,Dearborn St & Adams St,462,613009
1243,,,Millennium Park,Canal St & Jackson Blvd,Millennium Park,Customer,1611,9/28/2013 11:10,138,9/28/2013 10:51,8,Canal St & Jackson Blvd,"1,144",614249
1243,,,Clark St & Randolph St,Millennium Park,Clark St & Randolph St,Customer,1010,9/28/2013 11:47,8,9/28/2013 11:27,5,Millennium Park,"1,244",614792
1243,,,Clark St & Schiller St,Clark St & Randolph St,Clark St & Schiller St,Customer,3015,9/28/2013 13:17,5,9/28/2013 12:59,200,Clark St & Randolph St,"1,106",616556
1243,,,Museum Campus,Columbus Dr & Randolph St,Museum Campus,Customer,3923,9/28/2013 15:58,263,9/28/2013 15:27,29,Columbus Dr & Randolph St,"1,873",619807
1243,,,Stetson Ave & South Water St,Museum Campus,Stetson Ave & South Water St,Customer,4114,9/28/2013 16:34,29,9/28/2013 16:09,48,Museum Campus,"1,507",620663
1243,,,Lake Shore Dr & Monroe St,Stetson Ave & South Water St,Lake Shore Dr & Monroe St,Customer,2068,9/28/2013 18:49,48,9/28/2013 18:21,300,Stetson Ave & South Water St,"1,697",623189
1243,,,Shore Drive & 55th St,Fort Dearborn Dr & 31st St,Shore Drive & 55th St,Customer,5959,9/29/2013 12:32,220,9/29/2013 11:52,361,Fort Dearborn Dr & 31st St,"2,410",628497
