bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
75,,Kingsbury St & Erie St,41.89993001,-87.63443007,46,Wells St & Walton St,,1302,Wells St & Walton St,6/30/2013 14:16,6/30/2013 14:25,41.89384315,-87.64185116,265,Kingsbury St & Erie St,10802,571,Customer
75,,Larrabee St & Kingsbury St,41.9105780349,-87.6494219288,58,Dayton St & North Ave,,1689,Dayton St & North Ave,7/4/2013 5:50,7/4/2013 5:57,41.897764,-87.642884,12,Larrabee St & Kingsbury St,21774,439,Customer
75,,Lake Shore Dr & Monroe St,41.897764,-87.642884,12,Larrabee St & Kingsbury St,,4534,Larrabee St & Kingsbury St,7/4/2013 14:44,7/4/2013 15:07,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,23445,"1,369",Customer
75,,Cannon Dr & Fullerton Ave,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,6522,Lake Shore Dr & Monroe St,7/4/2013 15:27,7/4/2013 16:06,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,23743,"2,311",Customer
75,,Lincoln Ave & Eastwood Ave,41.9267559875,-87.6344287848,124,Cannon Dr & Fullerton Ave,,7263,Cannon Dr & Fullerton Ave,7/4/2013 18:51,7/5/2013 17:15,41.96583,-87.68651,237,Lincoln Ave & Eastwood Ave,24822,"80,644",Customer
75,,Wood St & Division St,41.9105780349,-87.6494219288,58,Dayton St & North Ave,,2913,Dayton St & North Ave,7/6/2013 20:54,7/6/2013 21:10,41.90332,-87.67273,246,Wood St & Division St,33605,990,Customer
75,,McClurg Ct & Illinois St,41.90332,-87.67273,246,Wood St & Division St,,5374,Wood St & Division St,7/7/2013 10:36,7/7/2013 11:58,41.89102,-87.6173,51,McClurg Ct & Illinois St,34467,"4,927",Customer
75,,Michigan Ave & Pearson St,41.89102,-87.6173,51,McClurg Ct & Illinois St,,1368,McClurg Ct & Illinois St,7/7/2013 13:13,7/7/2013 13:49,41.89766,-87.62351,34,Michigan Ave & Pearson St,35095,"2,147",Customer
75,,Millennium Park,41.89766,-87.62351,34,Michigan Ave & Pearson St,,2251,Michigan Ave & Pearson St,7/7/2013 14:21,7/7/2013 14:46,41.8810317,-87.62408432,8,Millennium Park,35444,"1,487",Customer
75,1983,State St & 16th St,41.8810317,-87.62408432,8,Millennium Park,Female,2884,Millennium Park,7/7/2013 15:23,7/7/2013 15:41,41.8601213774,-87.6277291853,148,State St & 16th St,35752,"1,091",Subscriber
75,1983,Wabash Ave & Roosevelt Rd,41.8601213774,-87.6277291853,148,State St & 16th St,Female,949,State St & 16th St,7/7/2013 18:08,7/7/2013 18:13,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,36446,288,Subscriber
